dataset,model,ranking_eval,ranking_real,ranking_pred,value_real,value_pred,perc_completeness
abalone_3,KNN,0.2222222222222222,['impute_random' 'impute_knn' 'impute_median' 'impute_mean' 'impute_random_forest' 'impute_mice' 'impute_cmeans' 'impute_standard' 'impute_linear_regression'],['impute_random' 'impute_standard' 'impute_median' 'impute_random_forest' 'impute_knn' 'impute_linear_regression' 'impute_mean' 'impute_mice' 'impute_cmeans'],[ 0.04019704  0.01379032  0.00985903  0.00836447  0.00529557  0.00478199  0.00089911  0.         -0.00157741],[ 0.02754879  0.         -0.0151595  -0.02001458 -0.02094592 -0.02208334 -0.02292463 -0.02312074 -0.02540001],0.3489875
abalone_3,RandomForest,0.4444444444444444,['impute_random' 'impute_knn' 'impute_random_forest' 'impute_standard' 'impute_cmeans' 'impute_mice' 'impute_median' 'impute_mean' 'impute_linear_regression'],['impute_random' 'impute_random_forest' 'impute_linear_regression' 'impute_standard' 'impute_mice' 'impute_knn' 'impute_median' 'impute_mean' 'impute_cmeans'],[ 0.0326928   0.0114923   0.00028783  0.         -0.00106185 -0.00370524 -0.00438643 -0.00489809 -0.01120143],[ 0.05131277  0.00864135  0.00277678  0.         -0.00071286 -0.00236434 -0.0031829  -0.00384784 -0.00452705],0.3489875
abalone_3,AdaBoost,0.1111111111111111,['impute_random' 'impute_mean' 'impute_median' 'impute_standard' 'impute_mice' 'impute_linear_regression' 'impute_random_forest' 'impute_knn' 'impute_cmeans'],['impute_random' 'impute_knn' 'impute_random_forest' 'impute_cmeans' 'impute_standard' 'impute_median' 'impute_mean' 'impute_linear_regression' 'impute_mice'],[ 0.0483221   0.00838358  0.00838358  0.         -0.04999715 -0.04999715 -0.04999715 -0.05155846 -0.0563029 ],[ 0.03810673  0.01536949  0.01417736  0.00292267  0.         -0.00214173 -0.00304669 -0.00559071 -0.00629692],0.3489875
abalone_3,SVC,0.1111111111111111,['impute_standard' 'impute_random' 'impute_median' 'impute_knn' 'impute_linear_regression' 'impute_cmeans' 'impute_mice' 'impute_random_forest' 'impute_mean'],['impute_random' 'impute_standard' 'impute_random_forest' 'impute_knn' 'impute_cmeans' 'impute_linear_regression' 'impute_mean' 'impute_median' 'impute_mice'],[ 0.         -0.14485396 -0.17058823 -0.19857385 -0.20470359 -0.21836468 -0.22354389 -0.262471   -0.27312332],[ 0.02632594  0.         -0.00521724 -0.00928859 -0.01512303 -0.01656894 -0.01720111 -0.01789488 -0.01913552],0.3489875
abalone_4,DecisionTree,0.1111111111111111,['impute_random' 'impute_random_forest' 'impute_linear_regression' 'impute_mice' 'impute_knn' 'impute_cmeans' 'impute_standard' 'impute_mean' 'impute_median'],['impute_random' 'impute_linear_regression' 'impute_mice' 'impute_cmeans' 'impute_standard' 'impute_mean' 'impute_median' 'impute_random_forest' 'impute_knn'],[ 0.03732587  0.01781247  0.01763706  0.01762948  0.00687686  0.00466006  0.         -0.00897659 -0.01572708],[ 0.0060541   0.00104587  0.00050016  0.00016306  0.         -0.00017298 -0.00034777 -0.0004712  -0.00107771],0.300075
abalone_4,LogisticRegression,0.3333333333333333,['impute_standard' 'impute_random' 'impute_median' 'impute_knn' 'impute_mean' 'impute_cmeans' 'impute_linear_regression' 'impute_random_forest' 'impute_mice'],['impute_random' 'impute_standard' 'impute_mean' 'impute_median' 'impute_cmeans' 'impute_knn' 'impute_linear_regression' 'impute_random_forest' 'impute_mice'],[ 0.         -0.35433774 -0.48318547 -0.48678818 -0.50191535 -0.50213781 -0.52248103 -0.52308463 -0.52572066],[ 0.00021463  0.         -0.0024019  -0.00344331 -0.00399371 -0.00418057 -0.00539808 -0.00554136 -0.0057702 ],0.300075
abalone_4,KNN,0.2222222222222222,['impute_random' 'impute_median' 'impute_random_forest' 'impute_knn' 'impute_linear_regression' 'impute_mice' 'impute_cmeans' 'impute_standard' 'impute_mean'],['impute_random' 'impute_standard' 'impute_median' 'impute_mean' 'impute_cmeans' 'impute_mice' 'impute_linear_regression' 'impute_knn' 'impute_random_forest'],[ 0.02944179  0.01672153  0.015942    0.01589697  0.01294504  0.01090504  0.00951563  0.         -0.00470328],[ 0.00444256  0.         -0.00099512 -0.00196306 -0.00223546 -0.00398448 -0.00408012 -0.00528091 -0.00542809],0.300075
abalone_4,RandomForest,0.2222222222222222,['impute_random' 'impute_mice' 'impute_knn' 'impute_linear_regression' 'impute_random_forest' 'impute_median' 'impute_standard' 'impute_cmeans' 'impute_mean'],['impute_random' 'impute_linear_regression' 'impute_knn' 'impute_median' 'impute_mice' 'impute_mean' 'impute_cmeans' 'impute_standard' 'impute_random_forest'],[ 0.02701965  0.01581498  0.01360447  0.01133371  0.01058529  0.00574462  0.         -0.0025884  -0.01092834],[ 0.00566787  0.00148591  0.00120054  0.00070532  0.00041918  0.00037643  0.00025249  0.         -0.00141084],0.300075
abalone_4,AdaBoost,0.2222222222222222,['impute_random' 'impute_standard' 'impute_mean' 'impute_median' 'impute_random_forest' 'impute_linear_regression' 'impute_mice' 'impute_cmeans' 'impute_knn'],['impute_random' 'impute_linear_regression' 'impute_knn' 'impute_mean' 'impute_mice' 'impute_median' 'impute_random_forest' 'impute_cmeans' 'impute_standard'],[ 0.01847627  0.         -0.06735392 -0.0766235  -0.09539102 -0.09543461 -0.09545239 -0.11482674 -0.17354678],[0.00667701 0.00338904 0.00174496 0.00086399 0.00085596 0.00081053 0.00067925 0.00057203 0.        ],0.300075
abalone_4,SVC,0.0,['impute_standard' 'impute_random' 'impute_mice' 'impute_random_forest' 'impute_linear_regression' 'impute_knn' 'impute_median' 'impute_cmeans' 'impute_mean'],['impute_random' 'impute_mice' 'impute_linear_regression' 'impute_knn' 'impute_mean' 'impute_cmeans' 'impute_random_forest' 'impute_median' 'impute_standard'],[ 0.         -0.09208049 -0.19058376 -0.21345695 -0.21438009 -0.24155793 -0.25068485 -0.25248017 -0.25598342],[0.00893829 0.00728064 0.00677039 0.0066876  0.00645868 0.00595305 0.00551655 0.0047893  0.        ],0.300075
abalone_5,DecisionTree,0.1111111111111111,['impute_random' 'impute_standard' 'impute_linear_regression' 'impute_knn' 'impute_random_forest' 'impute_mice' 'impute_cmeans' 'impute_mean' 'impute_median'],['impute_random' 'impute_mice' 'impute_median' 'impute_linear_regression' 'impute_cmeans' 'impute_mean' 'impute_standard' 'impute_random_forest' 'impute_knn'],[ 0.0016614   0.         -0.01401663 -0.01938189 -0.02019387 -0.02033573 -0.02908282 -0.03065918 -0.04352602],[ 0.01107516  0.00111639  0.00100283  0.00098694  0.00085588  0.00085219  0.         -0.00833788 -0.00879395],0.2515374999999999
abalone_5,LogisticRegression,0.4444444444444444,['impute_standard' 'impute_random' 'impute_median' 'impute_mean' 'impute_knn' 'impute_cmeans' 'impute_linear_regression' 'impute_random_forest' 'impute_mice'],['impute_standard' 'impute_random' 'impute_median' 'impute_cmeans' 'impute_mean' 'impute_mice' 'impute_linear_regression' 'impute_knn' 'impute_random_forest'],[ 0.         -0.34850085 -0.50027674 -0.51923125 -0.5211732  -0.53844781 -0.54665946 -0.54811781 -0.54961846],[ 0.         -0.03730758 -0.06489938 -0.06866645 -0.06938851 -0.07091056 -0.07094255 -0.08732048 -0.08746928],0.2515374999999999
