dataset,model,technique,real,pred,perc_completeness
letter_17,LogisticRegression,impute_random,-0.08612796281366442,-0.00230491006639743,0.1490875
letter_18,LogisticRegression,impute_random,-0.09596306974795499,0.0007986111186820624,0.0980249999999999
letter_19,LogisticRegression,impute_random,-0.07580393194270596,0.0008238714383723161,0.0499375
letter_20,LogisticRegression,impute_random,-0.012119462015512061,-0.05391140989322812,0.4984
letter_21,LogisticRegression,impute_random,0.038608292587359094,-0.03885875390910013,0.4461125
letter_22,LogisticRegression,impute_random,0.0022111762775165467,-0.045479366409985456,0.4066125
letter_23,LogisticRegression,impute_random,0.005634865959823543,-0.009005030952419843,0.3522375
letter_24,LogisticRegression,impute_random,0.013079201572544608,-0.01457473394826716,0.299725
letter_25,LogisticRegression,impute_random,-0.006290268988729419,-0.024413038819576995,0.2440875
letter_26,LogisticRegression,impute_random,0.033922964105927766,-0.03900088576541721,0.2010875
letter_27,LogisticRegression,impute_random,0.03270253786569843,-0.047814521867006195,0.1530875
letter_28,LogisticRegression,impute_random,0.04116564990808269,-0.05699361137621294,0.097475
letter_29,LogisticRegression,impute_random,0.011363814390405791,-0.06410469024880014,0.0484374999999999
letter_0,LogisticRegression,impute_knn,-0.2500399216719513,-0.05943411251377356,0.4983124999999999
letter_1,LogisticRegression,impute_knn,-0.28282445620963625,-0.06200801331130284,0.44755
letter_2,LogisticRegression,impute_knn,-0.2781271234719147,-0.055695712987986416,0.4009874999999999
letter_3,LogisticRegression,impute_knn,-0.2526497267531853,-0.06148914862870832,0.3568625
letter_4,LogisticRegression,impute_knn,-0.2835638278648609,-0.06005554973203961,0.3018375
letter_5,LogisticRegression,impute_knn,-0.28200996561800284,-0.05578353880764988,0.247525
letter_6,LogisticRegression,impute_knn,-0.30293460409438167,-0.015463783474107966,0.2007125
letter_7,LogisticRegression,impute_knn,-0.26589319560165947,-0.016439937608568152,0.14715
letter_8,LogisticRegression,impute_knn,-0.1815782393545038,-0.004391865741169096,0.0986375
letter_9,LogisticRegression,impute_knn,-0.09899440043225893,-0.003205948250494571,0.050875
letter_10,LogisticRegression,impute_knn,-0.2239530473089555,-0.024484205161738878,0.5012375
letter_11,LogisticRegression,impute_knn,-0.23951747787455546,-0.02474881193672935,0.4509875
letter_12,LogisticRegression,impute_knn,-0.25218108203512424,-0.024473132880022133,0.4006124999999999
letter_13,LogisticRegression,impute_knn,-0.22433907862198899,-0.025588330751962863,0.3481125
letter_14,LogisticRegression,impute_knn,-0.2316727263523337,-0.008436709218967265,0.299475
letter_15,LogisticRegression,impute_knn,-0.19952440578727337,-0.006832469345027675,0.2524
letter_16,LogisticRegression,impute_knn,-0.21985056358002497,-0.0041791660408849775,0.2019
letter_17,LogisticRegression,impute_knn,-0.18424609353201005,-0.0047739539918398724,0.1490875
letter_18,LogisticRegression,impute_knn,-0.18332611391239406,-0.0019834103630460374,0.0980249999999999
