name,column_name,n_tuples,missing_perc,constancy,imbalance,uniqueness,unalikeability,entropy,density,mean_char,std_char,skewness_char,kurtosis_char,min_char,max_char,ml_method,impute_standard,impute_mode,impute_random,impute_knn,impute_mice,impute_logistic_regression,impute_random_forest,impute_kproto
soybean,fruit-spots,249,0.1767,0.6488,8.8667,0.0195,0.5302,0.993,6.2211,6.3561,3.5054,0.9246,0.9977,3.0,18.0,SVC,0.34119132375350325,0.3337030980564102,0.3185388755924108,0.3214713892345471,0.3214713892345471,0.3337030980564102,0.3337030980564102,0.3337030980564102
soybean,fruit-spots,249,0.0924,0.6372,9.0,0.0177,0.5374,0.9959,6.2407,6.2566,3.4915,0.9252,0.998,3.0,18.0,DecisionTree,0.315024140237269,0.3164416388953474,0.3064008040575654,0.3148475405431927,0.3148475405431927,0.3206676012927383,0.3206676012927383,0.3164416388953474
soybean,fruit-spots,249,0.0924,0.6372,9.0,0.0177,0.5374,0.9959,6.2407,6.2566,3.4915,0.9252,0.998,3.0,18.0,LogisticRegression,0.3235537064729611,0.3206676012927383,0.3170968755473399,0.3046022785588003,0.3046022785588003,0.3206676012927383,0.3206676012927383,0.3206676012927383
soybean,fruit-spots,249,0.0924,0.6372,9.0,0.0177,0.5374,0.9959,6.2407,6.2566,3.4915,0.9252,0.998,3.0,18.0,KNN,0.3292672967446597,0.3311467818279412,0.32805479048971664,0.3178124326734274,0.3178124326734274,0.3311467818279412,0.3311467818279412,0.3311467818279412
soybean,fruit-spots,249,0.0924,0.6372,9.0,0.0177,0.5374,0.9959,6.2407,6.2566,3.4915,0.9252,0.998,3.0,18.0,RandomForest,0.31737436924099227,0.3206676012927383,0.30845673754207037,0.3148475405431927,0.3046022785588003,0.3206676012927383,0.3206676012927383,0.3206676012927383
soybean,fruit-spots,249,0.0924,0.6372,9.0,0.0177,0.5374,0.9959,6.2407,6.2566,3.4915,0.9252,0.998,3.0,18.0,AdaBoost,0.19897185503707243,0.20220417826939568,0.19451067432789107,0.21482090132090131,0.21482090132090131,0.19897185503707243,0.19897185503707243,0.19897185503707243
soybean,fruit-spots,249,0.0924,0.6372,9.0,0.0177,0.5374,0.9959,6.2407,6.2566,3.4915,0.9252,0.998,3.0,18.0,SVC,0.30689136881062345,0.3155194531445902,0.31153277298323734,0.3148475405431927,0.3148475405431927,0.3206676012927383,0.3206676012927383,0.3155194531445902
soybean,fruit-spots,249,0.0361,0.6208,7.8421,0.0167,0.5556,1.031,6.0185,6.3667,3.6513,0.9158,0.9951,3.0,18.0,DecisionTree,0.35152928429910524,0.3432717634789868,0.33860800352643783,0.33509181184113945,0.33509181184113945,0.3432717634789868,0.3432717634789868,0.3432717634789868
soybean,fruit-spots,249,0.0361,0.6208,7.8421,0.0167,0.5556,1.031,6.0185,6.3667,3.6513,0.9158,0.9951,3.0,18.0,LogisticRegression,0.34670457180541214,0.3432717634789868,0.34077849969693397,0.33509181184113945,0.33509181184113945,0.3432717634789868,0.3432717634789868,0.3432717634789868
soybean,fruit-spots,249,0.0361,0.6208,7.8421,0.0167,0.5556,1.031,6.0185,6.3667,3.6513,0.9158,0.9951,3.0,18.0,KNN,0.3653121719239366,0.3523388627349412,0.342398890860422,0.3410548032137519,0.3410548032137519,0.3523388627349412,0.3523388627349412,0.3523388627349412
soybean,fruit-spots,249,0.0361,0.6208,7.8421,0.0167,0.5556,1.031,6.0185,6.3667,3.6513,0.9158,0.9951,3.0,18.0,RandomForest,0.3561184912193315,0.3432717634789868,0.34077849969693397,0.33509181184113945,0.33509181184113945,0.3432717634789868,0.3432717634789868,0.3432717634789868
soybean,fruit-spots,249,0.0361,0.6208,7.8421,0.0167,0.5556,1.031,6.0185,6.3667,3.6513,0.9158,0.9951,3.0,18.0,AdaBoost,0.21482501657058675,0.22395252725609333,0.21289719311861,0.22157743977462285,0.22157743977462285,0.22395252725609333,0.22395252725609333,0.22395252725609333
soybean,fruit-spots,249,0.0361,0.6208,7.8421,0.0167,0.5556,1.031,6.0185,6.3667,3.6513,0.9158,0.9951,3.0,18.0,SVC,0.3384103073397191,0.3432717634789868,0.34077849969693397,0.33509181184113945,0.33509181184113945,0.3432717634789868,0.3432717634789868,0.3432717634789868
stars,Color,240,0.45,0.4318,57.0,0.0985,0.7357,1.7116,0.2634,5.303,3.289,0.8094,0.77,3.0,18.0,DecisionTree,0.9894538435645066,0.9895725520165484,0.982490320975984,0.9894538435645066,0.996536074605071,0.996536074605071,0.9929177689594356,0.996536074605071
stars,Color,240,0.45,0.4318,57.0,0.0985,0.7357,1.7116,0.2634,5.303,3.289,0.8094,0.77,3.0,18.0,LogisticRegression,0.9549693843924438,0.9651908238519256,0.9337665941974752,0.9686196817985528,0.9686196817985528,0.9755369323201799,0.9684939714533635,0.9651908238519256
stars,Color,240,0.45,0.4318,57.0,0.0985,0.7357,1.7116,0.2634,5.303,3.289,0.8094,0.77,3.0,18.0,KNN,0.8778155761934034,0.8963163176672727,0.7785792432646046,0.94180102450949,0.94180102450949,0.9451673427107241,0.9338046213730493,0.8963163176672727
stars,Color,240,0.45,0.4318,57.0,0.0985,0.7357,1.7116,0.2634,5.303,3.289,0.8094,0.77,3.0,18.0,RandomForest,0.9895371813317719,0.9895474201724201,0.9930364774114774,0.9965007039202946,1.0,0.9929177689594356,1.0,0.9930364774114774
stars,Color,240,0.45,0.4318,57.0,0.0985,0.7357,1.7116,0.2634,5.303,3.289,0.8094,0.77,3.0,18.0,AdaBoost,0.5197766027249723,0.5197766027249723,0.5197766027249723,0.5197766027249723,0.5197766027249723,0.5197766027249723,0.5197766027249723,0.5197766027249723
stars,Color,240,0.45,0.4318,57.0,0.0985,0.7357,1.7116,0.2634,5.303,3.289,0.8094,0.77,3.0,18.0,SVC,0.934247239705867,0.934247239705867,0.8858605188577839,0.9409102697988166,0.9409102697988166,0.9447483274003151,0.9478298498702784,0.934247239705867
