dataset,perc,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,mean,median
galaxy,50,18.23938536265575,18.23938536265575,18.23938536265575,18.23938536265575,18.23938536265575,18.23938536265575,18.559337856111995,18.559337856111995,18.559337856111995,18.559337856111995,18.559337856111995,18.559337856111995,20.004942801185603,20.004942801185603,20.004942801185603,20.004942801185603,20.004942801185603,20.004942801185603,22.296097523771273,22.296097523771273,22.296097523771273,22.296097523771273,22.296097523771273,22.296097523771273,24.837257731335217,24.837257731335217,24.837257731335217,24.837257731335217,24.837257731335217,24.837257731335217,24.991759061880956,24.991759061880956,24.991759061880956,24.991759061880956,24.991759061880956,21.388026370278965,20.004942801185603
galaxy,60,17.966492370760808,17.966492370760808,17.966492370760808,17.966492370760808,17.966492370760808,17.966492370760808,18.488053420826095,18.488053420826095,18.488053420826095,18.488053420826095,18.488053420826095,18.488053420826095,20.137998210978537,20.137998210978537,20.137998210978537,20.137998210978537,20.137998210978537,20.137998210978537,22.616208262589222,22.616208262589222,22.616208262589222,22.616208262589222,22.616208262589222,22.616208262589222,24.784029714144353,24.784029714144353,24.784029714144353,24.784029714144353,24.784029714144353,24.784029714144353,24.874732889345605,24.874732889345605,24.874732889345605,24.874732889345605,24.874732889345605,21.38086732350064,20.137998210978537
galaxy,70,17.72111760766757,17.72111760766757,17.72111760766757,17.72111760766757,17.72111760766757,17.72111760766757,18.441945787962336,18.441945787962336,18.441945787962336,18.441945787962336,18.441945787962336,18.441945787962336,20.292985746398877,20.292985746398877,20.292985746398877,20.292985746398877,20.292985746398877,20.292985746398877,22.95452867511462,22.95452867511462,22.95452867511462,22.95452867511462,22.95452867511462,22.95452867511462,24.690953181104998,24.690953181104998,24.690953181104998,24.690953181104998,24.690953181104998,24.690953181104998,24.750911636382206,24.750911636382206,24.750911636382206,24.750911636382206,24.750911636382206,21.38182126204003,20.292985746398877
galaxy,80,17.5030152702564,17.5030152702564,17.5030152702564,17.5030152702564,17.5030152702564,17.5030152702564,18.420354488016216,18.420354488016216,18.420354488016216,18.420354488016216,18.420354488016216,18.420354488016216,20.468853542217445,20.468853542217445,20.468853542217445,20.468853542217445,20.468853542217445,20.468853542217445,23.309673541467664,23.309673541467664,23.309673541467664,23.309673541467664,23.309673541467664,23.309673541467664,24.52846166433244,24.52846166433244,24.52846166433244,24.52846166433244,24.52846166433244,24.52846166433244,24.73736688915858,24.73736688915858,24.73736688915858,24.73736688915858,24.73736688915858,21.401971013815253,20.468853542217445
galaxy,90,17.311762849275755,17.311762849275755,17.311762849275755,17.311762849275755,17.311762849275755,17.311762849275755,18.42247497463227,18.42247497463227,18.42247497463227,18.42247497463227,18.42247497463227,18.42247497463227,20.66444347172714,20.66444347172714,20.66444347172714,20.66444347172714,20.66444347172714,20.66444347172714,23.68019009164162,23.68019009164162,23.68019009164162,23.68019009164162,23.68019009164162,23.68019009164162,24.386909662379843,24.386909662379843,24.386909662379843,24.386909662379843,24.386909662379843,24.386909662379843,24.742744148318565,24.742744148318565,24.742744148318565,24.742744148318565,24.742744148318565,21.44309734398665,20.66444347172714
heart,50,13.25997974831386,13.25997974831386,13.25997974831386,13.25997974831386,13.25997974831386,13.25997974831386,13.723507716011204,13.723507716011204,13.723507716011204,13.723507716011204,13.723507716011204,13.723507716011204,15.47911683947839,15.47911683947839,15.47911683947839,15.47911683947839,15.47911683947839,15.47911683947839,18.200039062436904,18.200039062436904,18.200039062436904,18.200039062436904,18.200039062436904,18.200039062436904,21.357934885080795,21.357934885080795,21.357934885080795,21.357934885080795,21.357934885080795,21.357934885080795,21.38916745166868,21.38916745166868,21.38916745166868,21.38916745166868,21.38916745166868,17.116265907607723,15.47911683947839
heart,60,13.000231563042785,13.000231563042785,13.000231563042785,13.000231563042785,13.000231563042785,13.000231563042785,13.69245573583657,13.69245573583657,13.69245573583657,13.69245573583657,13.69245573583657,13.69245573583657,15.678115593850789,15.678115593850789,15.678115593850789,15.678115593850789,15.678115593850789,15.678115593850789,18.60810102657143,18.60810102657143,18.60810102657143,18.60810102657143,18.60810102657143,18.60810102657143,21.33518605664306,21.33518605664306,21.33518605664306,21.33518605664306,21.33518605664306,21.33518605664306,21.45501313766593,21.45501313766593,21.45501313766593,21.45501313766593,21.45501313766593,17.175988729828497,15.678115593850789
heart,70,12.78067242178073,12.78067242178073,12.78067242178073,12.78067242178073,12.78067242178073,12.78067242178073,13.69805404271503,13.69805404271503,13.69805404271503,13.69805404271503,13.69805404271503,13.69805404271503,15.90891714092023,15.90891714092023,15.90891714092023,15.90891714092023,15.90891714092023,15.90891714092023,19.0424364084309,19.0424364084309,19.0424364084309,19.0424364084309,19.0424364084309,19.0424364084309,21.289480102389184,21.289480102389184,21.289480102389184,21.289480102389184,21.289480102389184,21.289480102389184,21.341350641249456,21.341350641249456,21.341350641249456,21.341350641249456,21.341350641249456,17.22926039724754,15.90891714092023
heart,80,12.60040852737414,12.60040852737414,12.60040852737414,12.60040852737414,12.60040852737414,12.60040852737414,13.738832785813035,13.738832785813035,13.738832785813035,13.738832785813035,13.738832785813035,13.738832785813035,16.169527281161564,16.169527281161564,16.169527281161564,16.169527281161564,16.169527281161564,16.169527281161564,19.500622608315254,19.500622608315254,19.500622608315254,19.500622608315254,19.500622608315254,19.500622608315254,21.15420405771519,21.15420405771519,21.15420405771519,21.15420405771519,21.15420405771519,21.15420405771519,21.375263512643674,21.375263512643674,21.375263512643674,21.375263512643674,21.375263512643674,17.310225403585527,16.169527281161564
heart,90,12.458245137088825,12.458245137088825,12.458245137088825,12.458245137088825,12.458245137088825,12.458245137088825,13.81308184709385,13.81308184709385,13.81308184709385,13.81308184709385,13.81308184709385,13.81308184709385,16.457780846675956,16.457780846675956,16.457780846675956,16.457780846675956,16.457780846675956,16.457780846675956,19.98013624603551,19.98013624603551,19.98013624603551,19.98013624603551,19.98013624603551,19.98013624603551,21.04825389306462,21.04825389306462,21.04825389306462,21.04825389306462,21.04825389306462,21.04825389306462,21.435570288048854,21.435570288048854,21.435570288048854,21.435570288048854,21.435570288048854,17.420652550285624,16.457780846675956
