dataset,perc,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
galaxy,50,0.36478770725311505,0.36478770725311505,0.36478770725311505,0.36478770725311505,0.36478770725311505,0.36478770725311505,0.3711867571222399,0.3711867571222399,0.3711867571222399,0.3711867571222399,0.3711867571222399,0.3711867571222399,0.4000988560237121,0.4000988560237121,0.4000988560237121,0.4000988560237121,0.4000988560237121,0.4000988560237121,0.4459219504754255,0.4459219504754255,0.4459219504754255,0.4459219504754255,0.4459219504754255,0.4459219504754255,0.49674515462670443,0.49674515462670443,0.49674515462670443,0.49674515462670443,0.49674515462670443,0.49674515462670443,0.49983518123761916,0.49983518123761916,0.49983518123761916,0.49983518123761916,0.49983518123761916
galaxy,60,0.35932984741521623,0.35932984741521623,0.35932984741521623,0.35932984741521623,0.35932984741521623,0.35932984741521623,0.3697610684165219,0.3697610684165219,0.3697610684165219,0.3697610684165219,0.3697610684165219,0.3697610684165219,0.40275996421957083,0.40275996421957083,0.40275996421957083,0.40275996421957083,0.40275996421957083,0.40275996421957083,0.4523241652517844,0.4523241652517844,0.4523241652517844,0.4523241652517844,0.4523241652517844,0.4523241652517844,0.495680594282887,0.495680594282887,0.495680594282887,0.495680594282887,0.495680594282887,0.495680594282887,0.49749465778691215,0.49749465778691215,0.49749465778691215,0.49749465778691215,0.49749465778691215
galaxy,70,0.3544223521533514,0.3544223521533514,0.3544223521533514,0.3544223521533514,0.3544223521533514,0.3544223521533514,0.36883891575924677,0.36883891575924677,0.36883891575924677,0.36883891575924677,0.36883891575924677,0.36883891575924677,0.40585971492797757,0.40585971492797757,0.40585971492797757,0.40585971492797757,0.40585971492797757,0.40585971492797757,0.45909057350229243,0.45909057350229243,0.45909057350229243,0.45909057350229243,0.45909057350229243,0.45909057350229243,0.49381906362210004,0.49381906362210004,0.49381906362210004,0.49381906362210004,0.49381906362210004,0.49381906362210004,0.4950182327276441,0.4950182327276441,0.4950182327276441,0.4950182327276441,0.4950182327276441
galaxy,80,0.350060305405128,0.350060305405128,0.350060305405128,0.350060305405128,0.350060305405128,0.350060305405128,0.3684070897603243,0.3684070897603243,0.3684070897603243,0.3684070897603243,0.3684070897603243,0.3684070897603243,0.40937707084434893,0.40937707084434893,0.40937707084434893,0.40937707084434893,0.40937707084434893,0.40937707084434893,0.46619347082935336,0.46619347082935336,0.46619347082935336,0.46619347082935336,0.46619347082935336,0.46619347082935336,0.4905692332866488,0.4905692332866488,0.4905692332866488,0.4905692332866488,0.4905692332866488,0.4905692332866488,0.4947473377831716,0.4947473377831716,0.4947473377831716,0.4947473377831716,0.4947473377831716
galaxy,90,0.34623525698551516,0.34623525698551516,0.34623525698551516,0.34623525698551516,0.34623525698551516,0.34623525698551516,0.3684494994926454,0.3684494994926454,0.3684494994926454,0.3684494994926454,0.3684494994926454,0.3684494994926454,0.4132888694345428,0.4132888694345428,0.4132888694345428,0.4132888694345428,0.4132888694345428,0.4132888694345428,0.47360380183283246,0.47360380183283246,0.47360380183283246,0.47360380183283246,0.47360380183283246,0.47360380183283246,0.4877381932475968,0.4877381932475968,0.4877381932475968,0.4877381932475968,0.4877381932475968,0.4877381932475968,0.49485488296637137,0.49485488296637137,0.49485488296637137,0.49485488296637137,0.49485488296637137
heart,50,0.2651995949662772,0.2651995949662772,0.2651995949662772,0.2651995949662772,0.2651995949662772,0.2651995949662772,0.27447015432022415,0.27447015432022415,0.27447015432022415,0.27447015432022415,0.27447015432022415,0.27447015432022415,0.3095823367895678,0.3095823367895678,0.3095823367895678,0.3095823367895678,0.3095823367895678,0.3095823367895678,0.36400078124873814,0.36400078124873814,0.36400078124873814,0.36400078124873814,0.36400078124873814,0.36400078124873814,0.42715869770161596,0.42715869770161596,0.42715869770161596,0.42715869770161596,0.42715869770161596,0.42715869770161596,0.42778334903337367,0.42778334903337367,0.42778334903337367,0.42778334903337367,0.42778334903337367
heart,60,0.2600046312608557,0.2600046312608557,0.2600046312608557,0.2600046312608557,0.2600046312608557,0.2600046312608557,0.27384911471673146,0.27384911471673146,0.27384911471673146,0.27384911471673146,0.27384911471673146,0.27384911471673146,0.3135623118770158,0.3135623118770158,0.3135623118770158,0.3135623118770158,0.3135623118770158,0.3135623118770158,0.37216202053142866,0.37216202053142866,0.37216202053142866,0.37216202053142866,0.37216202053142866,0.37216202053142866,0.42670372113286126,0.42670372113286126,0.42670372113286126,0.42670372113286126,0.42670372113286126,0.42670372113286126,0.4291002627533186,0.4291002627533186,0.4291002627533186,0.4291002627533186,0.4291002627533186
heart,70,0.2556134484356146,0.2556134484356146,0.2556134484356146,0.2556134484356146,0.2556134484356146,0.2556134484356146,0.2739610808543006,0.2739610808543006,0.2739610808543006,0.2739610808543006,0.2739610808543006,0.2739610808543006,0.3181783428184046,0.3181783428184046,0.3181783428184046,0.3181783428184046,0.3181783428184046,0.3181783428184046,0.38084872816861803,0.38084872816861803,0.38084872816861803,0.38084872816861803,0.38084872816861803,0.38084872816861803,0.4257896020477837,0.4257896020477837,0.4257896020477837,0.4257896020477837,0.4257896020477837,0.4257896020477837,0.42682701282498914,0.42682701282498914,0.42682701282498914,0.42682701282498914,0.42682701282498914
heart,80,0.2520081705474828,0.2520081705474828,0.2520081705474828,0.2520081705474828,0.2520081705474828,0.2520081705474828,0.27477665571626075,0.27477665571626075,0.27477665571626075,0.27477665571626075,0.27477665571626075,0.27477665571626075,0.32339054562323133,0.32339054562323133,0.32339054562323133,0.32339054562323133,0.32339054562323133,0.32339054562323133,0.3900124521663051,0.3900124521663051,0.3900124521663051,0.3900124521663051,0.3900124521663051,0.3900124521663051,0.42308408115430385,0.42308408115430385,0.42308408115430385,0.42308408115430385,0.42308408115430385,0.42308408115430385,0.42750527025287355,0.42750527025287355,0.42750527025287355,0.42750527025287355,0.42750527025287355
heart,90,0.2491649027417765,0.2491649027417765,0.2491649027417765,0.2491649027417765,0.2491649027417765,0.2491649027417765,0.276261636941877,0.276261636941877,0.276261636941877,0.276261636941877,0.276261636941877,0.276261636941877,0.32915561693351914,0.32915561693351914,0.32915561693351914,0.32915561693351914,0.32915561693351914,0.32915561693351914,0.39960272492071025,0.39960272492071025,0.39960272492071025,0.39960272492071025,0.39960272492071025,0.39960272492071025,0.42096507786129245,0.42096507786129245,0.42096507786129245,0.42096507786129245,0.42096507786129245,0.42096507786129245,0.4287114057609771,0.4287114057609771,0.4287114057609771,0.4287114057609771,0.4287114057609771
