name,column,percentage_outliers,std_outliers,technique_accuracy,f1_technique
acustic,_HarmonicChangeDetectionFunction_Std,20,1,KNN,0.3826442178187748
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,20,1,KNN,0.3536085243902584
acustic,_Zero-crossingrate_Mean,20,1,KNN,0.3432196496305326
acustic,_Fluctuation_Mean,20,1,KNN,0.3453278066116648
acustic,_HarmonicChangeDetectionFunction_Std,30,1,KNN,0.4837871339737504
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,30,1,KNN,0.4802126780184572
acustic,_Zero-crossingrate_Mean,30,1,KNN,0.4521583716564867
acustic,_Fluctuation_Mean,30,1,KNN,0.4703604430838102
acustic,_HarmonicChangeDetectionFunction_Std,40,1,KNN,0.5823600889066434
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,40,1,KNN,0.598328289891483
acustic,_Zero-crossingrate_Mean,40,1,KNN,0.5962624718355689
acustic,_Fluctuation_Mean,40,1,KNN,0.5751323709841224
acustic,_HarmonicChangeDetectionFunction_Std,50,1,KNN,0.6763511824094183
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,50,1,KNN,0.6627265489819152
acustic,_Zero-crossingrate_Mean,50,1,KNN,0.6588769462029925
acustic,_Fluctuation_Mean,50,1,KNN,0.6544290532699609
acustic,_HarmonicChangeDetectionFunction_Std,10,1,LOF,0.4369114030163857
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,10,1,LOF,0.60549245873974
acustic,_Zero-crossingrate_Mean,10,1,LOF,0.5377930931165392
acustic,_Fluctuation_Mean,10,1,LOF,0.2909018976563581
acustic,_HarmonicChangeDetectionFunction_Std,20,1,LOF,0.2726528942314867
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,20,1,LOF,0.3635077668481248
acustic,_Zero-crossingrate_Mean,20,1,LOF,0.355884123453595
acustic,_Fluctuation_Mean,20,1,LOF,0.2697470460268987
acustic,_HarmonicChangeDetectionFunction_Std,30,1,LOF,0.2477140911745057
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,30,1,LOF,0.2284576062831175
acustic,_Zero-crossingrate_Mean,30,1,LOF,0.2757289704145682
acustic,_Fluctuation_Mean,30,1,LOF,0.2017773458115188
acustic,_HarmonicChangeDetectionFunction_Std,40,1,LOF,0.2120342553158612
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,40,1,LOF,0.1894705790958699
acustic,_Zero-crossingrate_Mean,40,1,LOF,0.2657970835359128
acustic,_Fluctuation_Mean,40,1,LOF,0.2680329135417028
acustic,_HarmonicChangeDetectionFunction_Std,50,1,LOF,0.2175386826483396
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,50,1,LOF,0.2561697901366203
acustic,_Zero-crossingrate_Mean,50,1,LOF,0.2408863620336551
acustic,_Fluctuation_Mean,50,1,LOF,0.302149795717076
acustic,_HarmonicChangeDetectionFunction_Std,10,2,IQR,0.980514478257886
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,10,2,IQR,0.9011932590181756
acustic,_Zero-crossingrate_Mean,10,2,IQR,0.912284195178932
acustic,_Fluctuation_Mean,10,2,IQR,0.882997212001838
acustic,_HarmonicChangeDetectionFunction_Std,20,2,IQR,0.9109457448432106
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,20,2,IQR,0.9035077513163108
acustic,_Zero-crossingrate_Mean,20,2,IQR,0.9124045978665936
acustic,_Fluctuation_Mean,20,2,IQR,0.9237791519609256
acustic,_HarmonicChangeDetectionFunction_Std,30,2,IQR,0.8734866745546221
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,30,2,IQR,0.8325885994507448
acustic,_Zero-crossingrate_Mean,30,2,IQR,0.8637734351364323
acustic,_Fluctuation_Mean,30,2,IQR,0.9102026734060223
acustic,_HarmonicChangeDetectionFunction_Std,40,2,IQR,0.6906602666048629
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,40,2,IQR,0.6539429838657439
