dataset,model,technique,real,pred,perc_completeness
abalone_9,DecisionTree,impute_knn,-0.0007102437570247755,0.0088169921586531,0.0487
abalone_0,DecisionTree,impute_mice,-8.238856165432296e-05,0.0143715606528445,0.5002875
abalone_1,DecisionTree,impute_mice,0.0008638063835773035,0.01640034457311241,0.4477375
abalone_2,DecisionTree,impute_mice,0.013068959602751451,0.022100801011261606,0.4049
abalone_3,DecisionTree,impute_mice,-0.008732890456943476,0.023111177272854624,0.3526249999999999
abalone_4,DecisionTree,impute_mice,-0.009690584713843764,0.0015098616768230797,0.2980625
abalone_5,DecisionTree,impute_mice,-0.0006756249070782872,0.016713609201092,0.25275
abalone_6,DecisionTree,impute_mice,-0.0053168603184428065,0.011300089957807095,0.202125
abalone_7,DecisionTree,impute_mice,-0.004514992509357274,0.011174457765464288,0.1522625
abalone_8,DecisionTree,impute_mice,-0.010089133529075145,0.009693958294380143,0.1008125
abalone_9,DecisionTree,impute_mice,-0.0007102437570247755,0.008778051253467638,0.0487
abalone_0,DecisionTree,impute_logistic_regression,-0.007539403678561429,0.012243148428224316,0.5002875
abalone_1,DecisionTree,impute_logistic_regression,-0.0077965983391059535,0.013615095456658016,0.4477375
abalone_2,DecisionTree,impute_logistic_regression,-0.0064441733039681814,0.01650461434266761,0.4049
abalone_3,DecisionTree,impute_logistic_regression,-0.022627572521461303,0.017023112796129208,0.3526249999999999
abalone_4,DecisionTree,impute_logistic_regression,-0.0032242817941614543,0.002298807091576939,0.2980625
abalone_5,DecisionTree,impute_logistic_regression,-0.0164267779570324,0.01327694478006597,0.25275
abalone_6,DecisionTree,impute_logistic_regression,-0.006503742865107354,0.008292680280623329,0.202125
abalone_7,DecisionTree,impute_logistic_regression,-0.017952077312967107,0.007867619042094013,0.1522625
abalone_8,DecisionTree,impute_logistic_regression,-0.0026029213588094624,0.00529204858720179,0.1008125
abalone_9,DecisionTree,impute_logistic_regression,0.0016097405075318205,0.005770096413109727,0.0487
abalone_0,DecisionTree,impute_random_forest,-0.0061681141698588515,0.00968671092056597,0.5002875
abalone_1,DecisionTree,impute_random_forest,-0.0008625489418412347,0.010907673063454679,0.4477375
abalone_2,DecisionTree,impute_random_forest,-0.003485317564843049,0.016818638288121787,0.4049
abalone_3,DecisionTree,impute_random_forest,-0.02680599601271183,0.016600305010214977,0.3526249999999999
abalone_4,DecisionTree,impute_random_forest,-0.004711790847386155,-0.0010461537997075228,0.2980625
abalone_5,DecisionTree,impute_random_forest,-0.02457300975746657,0.012603013345228483,0.25275
abalone_6,DecisionTree,impute_random_forest,-0.009367797855080129,0.008383349729014904,0.202125
abalone_7,DecisionTree,impute_random_forest,-0.020690022734670688,0.008907894860052367,0.1522625
abalone_8,DecisionTree,impute_random_forest,-0.0034096483704646463,0.008219092043415402,0.1008125
abalone_9,DecisionTree,impute_random_forest,-0.0029962951838140572,0.0062848671628807536,0.0487
abalone_0,DecisionTree,impute_kproto,-0.004720396523812509,0.00927362004900432,0.5002875
