dataset,model,ranking_eval,ranking_real,ranking_pred,value_real,value_pred,perc_completeness
drug_24,DecisionTree,0.25,['impute_random' 'impute_logistic_regression' 'impute_knn' 'impute_kproto' 'impute_mode' 'impute_mice' 'impute_random_forest' 'impute_standard'],['impute_random' 'impute_kproto' 'impute_mode' 'impute_mice' 'impute_knn' 'impute_random_forest' 'impute_logistic_regression' 'impute_standard'],[0.02102262 0.01482836 0.00757889 0.00703866 0.00703284 0.00578589 0.00424384 0.        ],[0.01030446 0.00494486 0.00491358 0.00346107 0.00334103 0.00159607 0.00149226 0.        ],0.299375
drug_24,LogisticRegression,0.125,['impute_standard' 'impute_random' 'impute_mode' 'impute_kproto' 'impute_logistic_regression' 'impute_mice' 'impute_knn' 'impute_random_forest'],['impute_random' 'impute_kproto' 'impute_mode' 'impute_logistic_regression' 'impute_mice' 'impute_knn' 'impute_random_forest' 'impute_standard'],[ 0.         -0.00905166 -0.00947946 -0.00947946 -0.0139621  -0.01401002 -0.01584542 -0.01834875],[0.01215474 0.0040467  0.00399995 0.00330222 0.00241966 0.00221945 0.00011378 0.        ],0.299375
drug_24,KNN,0.125,['impute_standard' 'impute_random' 'impute_kproto' 'impute_mode' 'impute_logistic_regression' 'impute_random_forest' 'impute_mice' 'impute_knn'],['impute_random' 'impute_mode' 'impute_kproto' 'impute_knn' 'impute_standard' 'impute_mice' 'impute_logistic_regression' 'impute_random_forest'],[ 0.         -0.09604237 -0.11217223 -0.11376935 -0.13670847 -0.13884442 -0.1499369  -0.1521699 ],[ 9.91968039e-03  3.34873587e-03  3.29956882e-03  8.59701861e-06  0.00000000e+00 -2.97550251e-04 -2.04737982e-03 -2.46043181e-03],0.299375
drug_24,RandomForest,0.25,['impute_mode' 'impute_random' 'impute_kproto' 'impute_logistic_regression' 'impute_knn' 'impute_standard' 'impute_random_forest' 'impute_mice'],['impute_random' 'impute_mode' 'impute_kproto' 'impute_mice' 'impute_knn' 'impute_logistic_regression' 'impute_standard' 'impute_random_forest'],[ 0.01528404  0.01172274  0.01170335  0.0076226   0.00469193  0. -0.00122478 -0.00368505],[ 8.75843403e-03  4.17213423e-03  4.08784469e-03  3.01173509e-03  2.35285882e-03  6.61463654e-04  0.00000000e+00 -8.45595158e-05],0.299375
drug_24,AdaBoost,0.125,['impute_standard' 'impute_mode' 'impute_random' 'impute_knn' 'impute_mice' 'impute_logistic_regression' 'impute_random_forest' 'impute_kproto'],['impute_random_forest' 'impute_logistic_regression' 'impute_random' 'impute_standard' 'impute_knn' 'impute_kproto' 'impute_mice' 'impute_mode'],[0. 0. 0. 0. 0. 0. 0. 0.],[ 0.01308198  0.00827391  0.00347795  0.         -0.00069882 -0.00114961 -0.00310765 -0.00752856],0.299375
drug_24,SVC,0.125,['impute_standard' 'impute_random' 'impute_logistic_regression' 'impute_mode' 'impute_kproto' 'impute_knn' 'impute_mice' 'impute_random_forest'],['impute_random' 'impute_mode' 'impute_standard' 'impute_kproto' 'impute_logistic_regression' 'impute_random_forest' 'impute_mice' 'impute_knn'],[ 0.         -0.00780929 -0.02164633 -0.02231663 -0.0223212  -0.02502674 -0.02503471 -0.03986421],[ 0.02997159  0.00557963  0.         -0.00361312 -0.00483418 -0.00536653 -0.01346754 -0.01566804],0.299375
drug_25,DecisionTree,0.25,['impute_logistic_regression' 'impute_knn' 'impute_mice' 'impute_random_forest' 'impute_mode' 'impute_kproto' 'impute_random' 'impute_standard'],['impute_random' 'impute_mice' 'impute_knn' 'impute_kproto' 'impute_mode' 'impute_random_forest' 'impute_logistic_regression' 'impute_standard'],[0.01754438 0.01578152 0.01578152 0.00991696 0.00694854 0.00694854 0.00136361 0.        ],[0.0063622  0.00542218 0.00514571 0.00416293 0.00408209 0.00275092 0.00243018 0.        ],0.235625
drug_25,LogisticRegression,0.125,['impute_standard' 'impute_random_forest' 'impute_mice' 'impute_mode' 'impute_kproto' 'impute_logistic_regression' 'impute_knn' 'impute_random'],['impute_random' 'impute_mice' 'impute_knn' 'impute_kproto' 'impute_mode' 'impute_logistic_regression' 'impute_random_forest' 'impute_standard'],[ 0.         -0.00126058 -0.00273659 -0.00312817 -0.00312817 -0.00419791 -0.00614521 -0.00924582],[0.00738743 0.00610702 0.00584665 0.00504563 0.00500066 0.00318251 0.00295736 0.        ],0.235625
drug_25,KNN,0.125,['impute_standard' 'impute_kproto' 'impute_mode' 'impute_knn' 'impute_random_forest' 'impute_mice' 'impute_logistic_regression' 'impute_random'],['impute_random' 'impute_knn' 'impute_mice' 'impute_kproto' 'impute_mode' 'impute_standard' 'impute_logistic_regression' 'impute_random_forest'],[ 0.         -0.09985542 -0.10065264 -0.10728376 -0.10819287 -0.11089899 -0.11847187 -0.12427134],[ 0.00357193  0.00277594  0.00256106  0.00132538  0.00127503  0. -0.0003666  -0.00044091],0.235625
drug_25,RandomForest,0.125,['impute_mice' 'impute_knn' 'impute_kproto' 'impute_mode' 'impute_logistic_regression' 'impute_random_forest' 'impute_standard' 'impute_random'],['impute_mice' 'impute_random' 'impute_knn' 'impute_kproto' 'impute_mode' 'impute_logistic_regression' 'impute_random_forest' 'impute_standard'],[ 0.01648675  0.01293469  0.01253446  0.01100817  0.01044785  0.00854845  0.         -0.00073544],[0.00536225 0.00530588 0.00468589 0.00370242 0.00359415 0.0020372 0.00146248 0.        ],0.235625
drug_25,AdaBoost,0.0,['impute_standard' 'impute_mode' 'impute_random' 'impute_knn' 'impute_mice' 'impute_logistic_regression' 'impute_random_forest' 'impute_kproto'],['impute_random_forest' 'impute_logistic_regression' 'impute_standard' 'impute_mice' 'impute_knn' 'impute_random' 'impute_kproto' 'impute_mode'],[0. 0. 0. 0. 0. 0. 0. 0.],[ 0.02236269  0.00774815  0.         -0.00171326 -0.0018279  -0.0064183 -0.0069617  -0.01525001],0.235625
