Ratings,RAM,ROM,Mobile_Size,Primary_Cam,Selfi_Cam,Battery_Power,Price_Class
3.8,6.0,64.0,4.5,48,11.0,3500,0-1000
,10.0,10.0,4.5,48,11.0,3000,0-1000
3.0,6.0,35.0,4.54,48,23.0,2800,0-1000
4.0,6.0,32.0,4.5,48,32.0,3500,0-1000
3.4,6.0,64.0,4.5,48,8.0,3000,1000-10000
3.9,6.0,32.0,4.54,48,0.0,3000,1000-10000
3.4,6.0,64.0,4.54,20,8.0,3500,0-1000
4.1,6.0,32.0,4.5,48,,3000,1000-10000
4.5,6.0,64.0,6.3,48,2.0,3750,10000-60000
3.5,6.0,64.0,4.5,48,8.0,3000,0-1000
3.5,6.0,64.0,4.5,48,,3000,0-1000
4.1,6.0,32.0,4.77,48,5.0,2500,1000-10000
3.9,6.0,32.0,4.54,48,,3000,1000-10000
3.5,2.0,16.0,5.5,5,5.0,2500,1000-10000
4.6,4.0,64.0,6.6,38,2.0,5000,1000-10000
4.5,4.0,128.0,6.5,48,8.0,5000,10000-60000
4.5,4.0,128.0,6.5,48,8.0,5000,10000-60000
4.5,4.0,128.0,6.5,48,8.0,5000,10000-60000
4.4,6.0,128.0,6.53,64,8.0,4700,10000-60000
4.4,6.0,128.0,6.5,64,8.0,4700,10000-60000
4.5,6.0,64.0,6.67,64,8.0,4700,10000-60000
4.5,6.0,64.0,6.6,64,12.0,4700,10000-60000
4.4,4.0,128.0,6.5,48,8.0,5000,10000-60000
4.4,3.0,32.0,6.35,38,8.0,5000,10000-60000
4.5,6.0,128.0,6.5,64,8.0,5000,10000-60000
4.4,3.0,32.0,6.35,38,8.0,5000,10000-60000
4.3,3.0,32.0,6.22,38,2.0,4230,1000-10000
4.3,3.0,32.0,6.22,38,2.0,4230,1000-10000
4.3,4.0,64.0,7.0,48,5.0,6000,1000-10000
4.3,4.0,64.0,7.0,48,5.0,6000,1000-10000
4.3,4.0,64.0,6.5,35,2.0,4230,10000-60000
4.3,8.0,128.0,6.5,48,8.0,5000,10000-60000
4.3,2.0,32.0,6.2,38,2.0,4230,1000-10000
4.4,4.0,64.0,6.35,38,2.0,5000,10000-60000
4.3,3.0,32.0,5.7,38,2.0,3800,1000-10000
4.4,3.0,64.0,6.35,38,2.0,5000,10000-60000
4.3,3.0,32.0,5.7,38,2.0,3800,1000-10000
3.4,6.0,64.0,4.5,48,,3000,0-1000
4.3,4.0,4.0,4.5,64,,3500,1000-10000
4.4,6.0,64.0,6.4,48,5.0,3800,10000-60000
4.5,6.0,128.0,6.18,35,5.0,3800,10000-60000
4.7,8.0,64.0,5.8,35,12.0,3500,10000-60000
4.4,8.0,128.0,6.7,64,5.0,4700,10000-60000
4.5,8.0,128.0,6.7,48,12.0,4700,10000-60000
4.4,4.0,128.0,6.53,48,2.0,4020,10000-60000
4.5,8.0,256.0,6.18,35,5.0,3800,10000-60000
3.9,6.0,32.0,4.54,64,,4100,1000-10000
3.8,6.0,32.0,4.5,64,,1050,1000-10000
,2.0,16.0,5.5,8,8.0,4200,1000-10000
3.8,6.0,32.0,4.7,64,,4300,1000-10000
4.5,8.0,256.0,6.67,48,8.0,3800,10000-60000
4.6,6.0,128.0,6.67,48,8.0,3800,10000-60000
4.1,6.0,32.0,3.7,64,,3500,0-1000
4.5,8.0,128.0,6.7,64,1.0,4700,10000-60000
4.5,8.0,128.0,6.7,48,12.0,4700,10000-60000
4.3,2.0,32.0,6.2,38,2.0,4230,10000-60000
4.1,8.0,64.0,4.54,64,,2500,1000-10000
3.7,6.0,32.0,2.0,64,,1550,1000-10000
3.8,6.0,32.0,4.54,48,8.0,3000,1000-10000
3.8,6.0,32.0,4.54,25,,3000,1000-10000
,6.0,32.0,4.5,25,8.0,1080,0-1000
,6.0,32.0,4.5,25,8.0,1080,0-1000
3.9,4.0,24.0,4.77,48,8.0,1750,0-1000
4.0,6.0,32.0,3.7,16,8.0,3000,0-1000
4.1,6.0,64.0,4.5,48,,3000,0-1000
4.5,6.0,128.0,6.39,48,13.0,3800,10000-60000
3.9,6.0,32.0,4.54,25,,3000,1000-10000
3.5,6.0,64.0,4.5,48,,3000,0-1000
4.6,8.0,256.0,6.55,48,1.0,3000,10000-60000
4.6,8.0,128.0,6.55,48,1.0,3000,10000-60000
4.5,6.0,64.0,5.5,35,12.0,3500,10000-60000
4.5,8.0,128.0,6.5,64,13.0,3800,10000-60000
4.6,12.0,25.0,6.5,64,13.0,3800,10000-60000
4.5,8.0,128.0,6.5,64,13.0,3800,10000-60000
4.4,6.0,128.0,6.59,48,8.0,3800,10000-60000
4.4,2.0,32.0,6.22,38,5.0,4030,1000-10000
4.5,6.0,128.0,6.4,64,8.0,6000,10000-60000
4.4,8.0,128.0,6.44,48,13.0,4440,10000-60000
4.1,6.0,32.0,4.54,48,,3000,1000-10000
3.8,6.0,32.0,4.7,64,,3500,1000-10000
3.8,6.0,32.0,4.7,64,5.0,3000,1000-10000
4.3,4.0,64.0,6.5,38,8.0,3800,10000-60000
4.5,8.0,128.0,6.44,48,8.0,4700,10000-60000
4.7,8.0,64.0,6.1,35,12.0,5000,10000-60000
4.1,6.0,32.0,4.4,48,,2500,0-1000
4.0,6.0,32.0,3.7,16,,3000,0-1000
3.0,8.0,64.0,4.54,48,,3800,0-1000
4.5,4.0,128.0,6.38,48,8.0,4700,10000-60000
4.1,6.0,32.0,4.4,48,,2500,0-1000
4.5,8.0,64.0,4.7,35,7.0,5000,10000-60000
4.1,6.0,32.0,3.7,64,,5000,0-1000
4.1,6.0,32.0,3.7,64,5.0,3500,0-1000
4.5,8.0,128.0,6.7,35,12.0,4700,10000-60000
4.1,3.0,32.0,6.26,38,,3800,1000-10000
4.3,6.0,64.0,6.5,48,8.0,5000,10000-60000
3.9,6.0,32.0,4.77,48,,2800,1000-10000
3.9,6.0,32.0,4.77,48,5.0,2800,0-1000
,8.0,64.0,4.5,16,,3000,0-1000
4.4,8.0,128.0,6.44,48,13.0,4440,10000-60000
4.4,8.0,256.0,6.44,48,13.0,4440,10000-60000
4.3,3.0,32.0,6.22,38,,4030,10000-60000
4.3,,64.0,4.4,64,,3500,1000-10000
4.4,6.0,64.0,6.53,64,8.0,4700,10000-60000
4.5,4.0,64.0,5.6,35,20.0,3000,10000-60000
3.9,6.0,32.0,4.5,64,,2000,0-1000
4.3,6.0,64.0,6.5,48,8.0,5000,10000-60000
4.1,6.0,32.0,4.7,48,5.0,3000,1000-10000
3.9,6.0,32.0,4.5,48,5.0,3000,0-1000
4.0,6.0,32.0,4.5,48,5.0,3000,1000-10000
3.7,6.0,32.0,4.5,48,,3000,0-1000
4.3,6.0,128.0,5.99,35,5.0,3700,10000-60000
4.4,8.0,256.0,6.44,48,8.0,4700,10000-60000
3.6,6.0,64.0,4.5,48,,3500,0-1000
4.1,6.0,32.0,44.0,48,5.0,3000,0-1000
4.5,8.0,128.0,6.7,35,12.0,4700,10000-60000
