dataset,name,perc,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,mean,median
weather,Precipitation,80,7.22112098750618,7.22112098750618,7.22112098750618,7.22112098750618,7.22112098750618,7.22112098750618,7.26557350430083,7.26557350430083,7.26557350430083,7.26557350430083,7.26557350430083,7.26557350430083,7.775916500786249,7.775916500786249,7.775916500786249,7.775916500786249,7.775916500786249,7.775916500786249,7.839681087019409,7.839681087019409,7.839681087019409,7.839681087019409,7.839681087019409,7.839681087019409,7.86133348589858,7.86133348589858,7.86133348589858,7.86133348589858,7.86133348589858,7.86133348589858,7.887511839099545,7.887511839099545,7.887511839099545,7.887511839099545,7.887511839099545,7.634837502530433,7.775916500786249
weather,AtmosphericPressure,80,8.32176253154852,8.32176253154852,8.32176253154852,8.32176253154852,8.32176253154852,8.32176253154852,8.365448211069559,8.365448211069559,8.365448211069559,8.365448211069559,8.365448211069559,8.365448211069559,8.861904063659216,8.861904063659216,8.861904063659216,8.861904063659216,8.861904063659216,8.861904063659216,8.9242324080786,8.9242324080786,8.9242324080786,8.9242324080786,8.9242324080786,8.9242324080786,8.945704694404661,8.945704694404661,8.945704694404661,8.945704694404661,8.945704694404661,8.945704694404661,8.971750996010686,8.971750996010686,8.971750996010686,8.971750996010686,8.971750996010686,8.724944755217628,8.861904063659216
weather,Temperature,90,6.795934198109411,6.795934198109411,6.795934198109411,6.795934198109411,6.795934198109411,6.795934198109411,6.84505070818208,6.84505070818208,6.84505070818208,6.84505070818208,6.84505070818208,6.84505070818208,7.351994243759686,7.351994243759686,7.351994243759686,7.351994243759686,7.351994243759686,7.351994243759686,7.420667840197071,7.420667840197071,7.420667840197071,7.420667840197071,7.420667840197071,7.420667840197071,7.44670353395756,7.44670353395756,7.44670353395756,7.44670353395756,7.44670353395756,7.44670353395756,7.47727951257499,7.47727951257499,7.47727951257499,7.47727951257499,7.47727951257499,7.215671448803139,7.351994243759686
weather,Precipitation,90,7.204071849145779,7.204071849145779,7.204071849145779,7.204071849145779,7.204071849145779,7.204071849145779,7.252945819074109,7.252945819074109,7.252945819074109,7.252945819074109,7.252945819074109,7.252945819074109,7.754656304197425,7.754656304197425,7.754656304197425,7.754656304197425,7.754656304197425,7.754656304197425,7.822891386738171,7.822891386738171,7.822891386738171,7.822891386738171,7.822891386738171,7.822891386738171,7.848899331787584,7.848899331787584,7.848899331787584,7.848899331787584,7.848899331787584,7.848899331787584,7.879417666135745,7.879417666135745,7.879417666135745,7.879417666135745,7.879417666135745,7.619939327895346,7.754656304197425
weather,AtmosphericPressure,90,8.300701317411564,8.300701317411564,8.300701317411564,8.300701317411564,8.300701317411564,8.300701317411564,8.34874360566792,8.34874360566792,8.34874360566792,8.34874360566792,8.34874360566792,8.34874360566792,8.836753212319895,8.836753212319895,8.836753212319895,8.836753212319895,8.836753212319895,8.836753212319895,8.903486825066791,8.903486825066791,8.903486825066791,8.903486825066791,8.903486825066791,8.903486825066791,8.929248724841566,8.929248724841566,8.929248724841566,8.929248724841566,8.929248724841566,8.929248724841566,8.959571055372379,8.959571055372379,8.959571055372379,8.959571055372379,8.959571055372379,8.706041639677382,8.836753212319895
galaxy,eastwest,50,30.62416348094948,30.62416348094948,30.62416348094948,30.62416348094948,30.62416348094948,30.62416348094948,30.66125324825652,30.66125324825652,30.66125324825652,30.66125324825652,30.66125324825652,30.66125324825652,30.69957607803029,30.69957607803029,30.69957607803029,30.69957607803029,30.69957607803029,30.69957607803029,30.85442728868285,30.85442728868285,30.85442728868285,30.85442728868285,30.85442728868285,30.85442728868285,30.919128945549605,30.919128945549605,30.919128945549605,30.919128945549605,30.919128945549605,30.919128945549605,31.036215844155972,31.036215844155972,31.036215844155972,31.036215844155972,31.036215844155972,30.792353527702634,30.69957607803029
galaxy,northsouth,50,28.274337250369108,28.274337250369108,28.274337250369108,28.274337250369108,28.274337250369108,28.274337250369108,28.474403428911245,28.474403428911245,28.474403428911245,28.474403428911245,28.474403428911245,28.474403428911245,28.564104463510464,28.564104463510464,28.564104463510464,28.564104463510464,28.564104463510464,28.564104463510464,28.583075883650118,28.583075883650118,28.583075883650118,28.583075883650118,28.583075883650118,28.583075883650118,28.60873833833153,28.60873833833153,28.60873833833153,28.60873833833153,28.60873833833153,28.60873833833153,28.61471572981128,28.61471572981128,28.61471572981128,28.61471572981128,28.61471572981128,28.517186709648318,28.564104463510464
galaxy,radialposition,50,27.867016786158338,27.867016786158338,27.867016786158338,27.867016786158338,27.867016786158338,27.867016786158338,28.14299189663182,28.14299189663182,28.14299189663182,28.14299189663182,28.14299189663182,28.14299189663182,28.143335226860906,28.143335226860906,28.143335226860906,28.143335226860906,28.143335226860906,28.143335226860906,28.15419204034259,28.15419204034259,28.15419204034259,28.15419204034259,28.15419204034259,28.15419204034259,28.195533846566544,28.195533846566544,28.195533846566544,28.195533846566544,28.195533846566544,28.195533846566544,28.24641809701578,28.24641809701578,28.24641809701578,28.24641809701578,28.24641809701578,28.121443121841125,28.143335226860906
galaxy,eastwest,60,30.49575884371125,30.49575884371125,30.49575884371125,30.49575884371125,30.49575884371125,30.49575884371125,30.92661597192877,30.92661597192877,30.92661597192877,30.92661597192877,30.92661597192877,30.92661597192877,30.961719209557682,30.961719209557682,30.961719209557682,30.961719209557682,30.961719209557682,30.961719209557682,30.970880099231586,30.970880099231586,30.970880099231586,30.970880099231586,30.970880099231586,30.970880099231586,31.003539597335,31.003539597335,31.003539597335,31.003539597335,31.003539597335,31.003539597335,31.106377610464232,31.106377610464232,31.106377610464232,31.106377610464232,31.106377610464232,30.905227725225924,30.961719209557682
galaxy,northsouth,60,27.450563203913536,27.450563203913536,27.450563203913536,27.450563203913536,27.450563203913536,27.450563203913536,27.780570148752915,27.780570148752915,27.780570148752915,27.780570148752915,27.780570148752915,27.780570148752915,27.82651211329068,27.82651211329068,27.82651211329068,27.82651211329068,27.82651211329068,27.82651211329068,27.875333636889764,27.875333636889764,27.875333636889764,27.875333636889764,27.875333636889764,27.875333636889764,27.881593060379938,27.881593060379938,27.881593060379938,27.881593060379938,27.881593060379938,27.881593060379938,27.984545486803057,27.984545486803057,27.984545486803057,27.984545486803057,27.984545486803057,27.794576011810758,27.82651211329068
