dataset,BachChoralHarmony,Run,abalone,bank,cancer,default of credit card clients,drug,electricity-normalized,fried,frogs,german,house,iris,letter,mv,numerai28.6,phoneme,ringnorm,shuttle,stars,visualizing,wall-robot-navigation,average_distance
german,0.5252175993423915,0.525145547963234,0.5947293048862589,0.5251761318993247,0.5460843405899184,0.7465777746933948,0.5341585651173733,0.6241995002940174,0.5250857615480249,0.5250917692590129,0.5633828467040164,0.6620357243219259,0.554460448134368,0.5297006010225161,0.5252401235502534,0.5253955509033447,0.5252303684001316,0.526343944781693,0.5759882041762856,0.525368215147747,0.5255585005303349,0.5250823086118179,0.5561478696307903
house,0.5674887695130463,0.5674382055445735,0.4954465007640195,0.567495599373157,0.5860156630940374,0.7110184152272183,0.5754282675952147,0.6643826539856914,0.5674035739120094,0.567402520147826,0.6024609382993866,0.6549108433824713,0.5980967877864811,0.5719879631328705,0.5673308609186425,0.5675772936189704,0.5674595510088184,0.5686520885663312,0.6060989401161854,0.5676731618852388,0.5678182100765586,0.5673932269678336,0.5853172743143901
iris,0.9984631471121392,0.9984848499309671,0.6443919016044267,0.9984889875872606,0.9993354774943978,0.7552220918874238,0.9991096637316061,0.9838143348849393,0.9984179246655065,0.9984588050590254,0.9988198847589423,0.3724311884344794,0.9995470492376534,0.9988272739256185,0.9984666263091801,0.9985061368241592,0.9984652017794945,0.9985543328849589,0.9938773243733493,0.9985007046861124,0.998418407744658,0.9984559363857667,0.9421389659682758
letter,0.9999632386871541,0.9999627673300839,0.6321756989419403,0.9999634242601803,0.9994896003556504,0.7374261839989377,0.999928421871801,0.9772723960531037,0.9999562059711247,0.9999615487226178,0.9977835909188864,0.34067540395281515,0.9980078365546159,0.9999981276933166,0.9999622614042112,0.9999658752325162,0.999963268239332,0.9999791742374727,0.9905338412703587,0.9999664024067663,0.9999454103396642,0.9999613084247642,0.9396746357666962
mv,0.9999997616974967,0.9999993759675713,0.6286729304814923,0.999999278391084,0.999192520955838,0.732138226052926,0.9998232690901346,0.9754311826882406,0.9999929684304548,0.9999997560576083,0.9971858992266196,0.3326672500574314,0.9974952606087392,0.999956753920478,0.9999996540360084,0.999999012979657,0.9999998377093623,0.9999966290293772,0.9896919247428388,0.9999993972321558,0.999972504805607,0.9999997416307771,0.9387369607178137
numerai28.6,0.9999999564367044,0.9999993865653839,0.62835631668563,0.9999993678598287,0.9991878510178444,0.7320531645010254,0.9998206108911397,0.9754226345117256,0.9999932432085334,0.9999999948159636,0.997179981680253,0.33260092399813096,0.9974890188909391,0.9999564702711539,0.9999993069180857,0.9999987006509792,0.999999895328458,0.9999969316975588,0.9896437894160982,0.9999994335928645,0.9999725656421196,0.9999999999948622,0.9387122520261495
phoneme,0.9999986965663605,0.9999996885694499,0.6289503717057736,0.9999994621303421,0.9992102572005848,0.7324255821869119,0.9998325208117983,0.9755519893543397,0.9999916015753009,0.999998748768293,0.9972208369015012,0.33308682913440646,0.9975510061561466,0.9999608906727808,0.9999989589612224,0.9999999903218677,0.9999988949196863,0.9999964687326507,0.9897729628583161,0.9999996457209228,0.9999724537882976,0.9999986009362916,0.9387962026351474
ringnorm,0.5922607175595165,0.5921924289046219,0.9969026530718572,0.5921531226819924,0.6133086404982475,0.8075192500715975,0.6007249782933237,0.6692283796035224,0.5920781896128374,0.5920860032406927,0.6278678255813113,0.6734749671562539,0.6163725397950853,0.5964685722251164,0.5928490962815237,0.5926823327422513,0.5924377820736415,0.5930272977203007,0.6759925959353161,0.5923618835484901,0.5925180680769087,0.5920766428748047,0.6357538167067823
shuttle,0.9980208365974341,0.998015445787565,0.6509759203920251,0.9980147390720889,0.9980517445099621,0.746208046951943,0.9981318563424864,0.9771096062212029,0.9980478882681119,0.9980123965496945,0.9967010865233457,0.3507990209001762,0.9963262947441566,0.9981516097356742,0.9980382147244111,0.9980324989542444,0.9980261114232404,0.9980501446135278,0.9906230006460076,0.998020368715704,0.9980870350510834,0.9980122632984184,0.9399752786373864
stars,0.5553254628580067,0.5552630322170236,0.6392653959333305,0.5552837948620196,0.5758464392461394,0.7710525298043753,0.5642810843966193,0.6490859198980865,0.5551772145699388,0.5551953938576635,0.5925876254546543,0.6554093522982039,0.5827388860619719,0.5596094710301351,0.555403027052583,0.5555383007757146,0.5553500712957519,0.556383665689425,0.6065653492443044,0.5554685898396576,0.5556433180036069,0.5551853079386185,0.5846208741967197
