dataset,name,perc,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,mean,median
consumer,CustomerSatisfaction,60,7.590358483046206,7.590358483046206,7.590358483046206,7.590358483046206,7.590358483046206,7.590358483046206,7.590358483046206,7.74341665458569,7.74341665458569,7.74341665458569,7.74341665458569,7.74341665458569,7.74341665458569,7.74341665458569,8.64420641632358,8.64420641632358,8.64420641632358,8.64420641632358,8.64420641632358,8.64420641632358,8.64420641632358,8.87927751538035,8.87927751538035,8.87927751538035,8.87927751538035,8.87927751538035,8.87927751538035,8.87927751538035,8.895609753832561,8.895609753832561,8.895609753832561,8.895609753832561,8.895609753832561,8.895609753832561,8.895609753832561,8.350573764633678,8.64420641632358
consumer,CustomerAge,70,8.120721112985816,8.120721112985816,8.120721112985816,8.120721112985816,8.120721112985816,8.120721112985816,8.120721112985816,8.27156845925742,8.27156845925742,8.27156845925742,8.27156845925742,8.27156845925742,8.27156845925742,8.27156845925742,9.16009435107515,9.16009435107515,9.16009435107515,9.16009435107515,9.16009435107515,9.16009435107515,9.16009435107515,9.392375258514809,9.392375258514809,9.392375258514809,9.392375258514809,9.392375258514809,9.392375258514809,9.392375258514809,9.408712134498556,9.408712134498556,9.408712134498556,9.408712134498556,9.408712134498556,9.408712134498556,9.408712134498556,8.870694263266353,9.16009435107515
consumer,CustomerSatisfaction,70,7.592741170635504,7.592741170635504,7.592741170635504,7.592741170635504,7.592741170635504,7.592741170635504,7.592741170635504,7.74561126739593,7.74561126739593,7.74561126739593,7.74561126739593,7.74561126739593,7.74561126739593,7.74561126739593,8.645470943987135,8.645470943987135,8.645470943987135,8.645470943987135,8.645470943987135,8.645470943987135,8.645470943987135,8.8806792409229,8.8806792409229,8.8806792409229,8.8806792409229,8.8806792409229,8.8806792409229,8.8806792409229,8.897213251657796,8.897213251657796,8.897213251657796,8.897213251657796,8.897213251657796,8.897213251657796,8.897213251657796,8.352343174919847,8.645470943987135
consumer,CustomerAge,80,8.116133826592355,8.116133826592355,8.116133826592355,8.116133826592355,8.116133826592355,8.116133826592355,8.116133826592355,8.266645986843535,8.266645986843535,8.266645986843535,8.266645986843535,8.266645986843535,8.266645986843535,8.266645986843535,9.153655747302125,9.153655747302125,9.153655747302125,9.153655747302125,9.153655747302125,9.153655747302125,9.153655747302125,9.386224668332675,9.386224668332675,9.386224668332675,9.386224668332675,9.386224668332675,9.386224668332675,9.386224668332675,9.40292630868465,9.40292630868465,9.40292630868465,9.40292630868465,9.40292630868465,9.40292630868465,9.40292630868465,8.865117307551072,9.153655747302125
consumer,CustomerSatisfaction,80,7.5975833024117145,7.5975833024117145,7.5975833024117145,7.5975833024117145,7.5975833024117145,7.5975833024117145,7.5975833024117145,7.750085866676135,7.750085866676135,7.750085866676135,7.750085866676135,7.750085866676135,7.750085866676135,7.750085866676135,8.64833945597909,8.64833945597909,8.64833945597909,8.64833945597909,8.64833945597909,8.64833945597909,8.64833945597909,8.88386696070448,8.88386696070448,8.88386696070448,8.88386696070448,8.88386696070448,8.88386696070448,8.88386696070448,8.900679797872705,8.900679797872705,8.900679797872705,8.900679797872705,8.900679797872705,8.900679797872705,8.900679797872705,8.356111076728828,8.64833945597909
consumer,CustomerAge,90,8.12153435668206,8.12153435668206,8.12153435668206,8.12153435668206,8.12153435668206,8.12153435668206,8.12153435668206,8.270918656442044,8.270918656442044,8.270918656442044,8.270918656442044,8.270918656442044,8.270918656442044,8.270918656442044,9.1528964621119,9.1528964621119,9.1528964621119,9.1528964621119,9.1528964621119,9.1528964621119,9.1528964621119,9.38601158585917,9.38601158585917,9.38601158585917,9.38601158585917,9.38601158585917,9.38601158585917,9.38601158585917,9.403841168430791,9.403841168430791,9.403841168430791,9.403841168430791,9.403841168430791,9.403841168430791,9.403841168430791,8.867040445905195,9.1528964621119
consumer,CustomerSatisfaction,90,7.613079885535345,7.613079885535345,7.613079885535345,7.613079885535345,7.613079885535345,7.613079885535345,7.613079885535345,7.764567954771071,7.764567954771071,7.764567954771071,7.764567954771071,7.764567954771071,7.764567954771071,7.764567954771071,8.658163308563479,8.658163308563479,8.658163308563479,8.658163308563479,8.658163308563479,8.658163308563479,8.658163308563479,8.894203108546355,8.894203108546355,8.894203108546355,8.894203108546355,8.894203108546355,8.894203108546355,8.894203108546355,8.912016133465924,8.912016133465924,8.912016133465924,8.912016133465924,8.912016133465924,8.912016133465924,8.912016133465924,8.36840607817643,8.658163308563479
galaxy,eastwest,50,10.607330698136295,10.607330698136295,10.607330698136295,10.607330698136295,10.607330698136295,10.607330698136295,10.607330698136295,11.23672263885694,11.23672263885694,11.23672263885694,11.23672263885694,11.23672263885694,11.23672263885694,11.23672263885694,11.621227711265105,11.621227711265105,11.621227711265105,11.621227711265105,11.621227711265105,11.621227711265105,11.621227711265105,11.653974749608595,11.653974749608595,11.653974749608595,11.653974749608595,11.653974749608595,11.653974749608595,11.653974749608595,12.439593354661959,12.439593354661959,12.439593354661959,12.439593354661959,12.439593354661959,12.439593354661959,12.439593354661959,11.51176983050578,11.621227711265105
galaxy,northsouth,50,6.2054309248482955,6.2054309248482955,6.2054309248482955,6.2054309248482955,6.2054309248482955,6.2054309248482955,6.2054309248482955,6.614655804332944,6.614655804332944,6.614655804332944,6.614655804332944,6.614655804332944,6.614655804332944,6.614655804332944,7.39309842532837,7.39309842532837,7.39309842532837,7.39309842532837,7.39309842532837,7.39309842532837,7.39309842532837,7.559262694590604,7.559262694590604,7.559262694590604,7.559262694590604,7.559262694590604,7.559262694590604,7.559262694590604,8.48912894193556,8.48912894193556,8.48912894193556,8.48912894193556,8.48912894193556,8.48912894193556,8.48912894193556,7.252315358207154,7.39309842532837
galaxy,radialposition,50,5.770115811788825,5.770115811788825,5.770115811788825,5.770115811788825,5.770115811788825,5.770115811788825,5.770115811788825,6.187624468973545,6.187624468973545,6.187624468973545,6.187624468973545,6.187624468973545,6.187624468973545,6.187624468973545,6.98842381431916,6.98842381431916,6.98842381431916,6.98842381431916,6.98842381431916,6.98842381431916,6.98842381431916,7.138114070879221,7.138114070879221,7.138114070879221,7.138114070879221,7.138114070879221,7.138114070879221,7.138114070879221,8.088089572758035,8.088089572758035,8.088089572758035,8.088089572758035,8.088089572758035,8.088089572758035,8.088089572758035,6.834473547743759,6.98842381431916
