dataset,model,ranking_eval,ranking_real,ranking_pred,value_real,value_pred
electricity-normalized_3,DecisionTree,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.9196987  0.92856273],[0.8859611  0.89255448]
electricity-normalized_3,LogisticRegression,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.68870073 0.95513246],[0.65948885 0.87977525]
electricity-normalized_3,KNN,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.73391781 0.89697402],[0.78214645 0.93485052]
electricity-normalized_3,RandomForest,0.0,['accuracy' 'completeness'],['completeness' 'accuracy'],[0.88382404 0.90721324],[0.91120024 0.91853049]
electricity-normalized_3,AdaBoost,0.0,['completeness' 'accuracy'],['accuracy' 'completeness'],[0.93051876 0.93055228],[0.9225413  0.96098314]
electricity-normalized_3,SVC,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.86951133 0.88238013],[0.59798339 0.77204499]
electricity-normalized_4,DecisionTree,1.0,['completeness' 'accuracy'],['completeness' 'accuracy'],[0.95413139 0.95477133],[0.92359269 0.92421543]
electricity-normalized_4,LogisticRegression,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.73343416 0.97718431],[0.69657801 0.92248705]
electricity-normalized_4,KNN,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.8142315  0.94457162],[0.83808168 0.95916719]
electricity-normalized_4,RandomForest,0.0,['accuracy' 'completeness'],['completeness' 'accuracy'],[0.92644635 0.94320886],[0.93547992 0.95502006]
electricity-normalized_4,AdaBoost,0.0,['completeness' 'accuracy'],['accuracy' 'completeness'],[0.95119855 0.95468509],[0.93973004 0.97222086]
electricity-normalized_4,SVC,0.0,['completeness' 'accuracy'],['accuracy' 'completeness'],[0.89830567 0.90757869],[0.6066011  0.86498075]
fried_0,DecisionTree,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.7722862  0.80841968],[0.80015082 0.91758112]
fried_0,LogisticRegression,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.67280097 0.85001829],[0.6372229  0.93263806]
fried_0,KNN,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.66660692 0.78665167],[0.68657826 0.93493785]
fried_0,RandomForest,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.78912357 0.80221643],[0.85741163 0.93667516]
fried_0,AdaBoost,0.0,['accuracy' 'completeness'],['completeness' 'accuracy'],[0.81018261 0.81468668],[0.85811692 0.8614039 ]
fried_0,SVC,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.63003041 0.68927221],[0.58135053 0.88266888]
fried_1,DecisionTree,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.7924382  0.83913885],[0.79824744 0.91684278]
fried_1,LogisticRegression,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.70040169 0.87873351],[0.61354774 0.92840197]
fried_1,KNN,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.70084072 0.82156779],[0.70223541 0.92612074]
