dataset,model,dimension,real,pred
abalone_1,RandomForest,accuracy,0.7866458589870335,0.8090822117521307
abalone_2,RandomForest,accuracy,0.8156032785242576,0.8812078292761362
abalone_3,RandomForest,accuracy,0.8566529279557947,0.9234086398898984
abalone_4,RandomForest,accuracy,0.8592221695070773,0.9562664730036649
abalone_0,AdaBoost,completeness,0.7160023773884109,0.8659178458703467
abalone_1,AdaBoost,completeness,0.7168630254321583,0.9597944515852735
abalone_2,AdaBoost,completeness,0.8401842581493995,0.8760496851198469
abalone_3,AdaBoost,completeness,0.9452120852281731,0.9665284356442969
abalone_4,AdaBoost,completeness,0.9852570839152202,0.972358920538384
abalone_0,AdaBoost,accuracy,0.8476953731420183,0.8482174843294684
abalone_1,AdaBoost,accuracy,0.8627196318127273,0.8302402984305585
abalone_2,AdaBoost,accuracy,0.7169468228639004,0.8999569661040175
abalone_3,AdaBoost,accuracy,0.9062052518819783,0.9486093016780107
abalone_4,AdaBoost,accuracy,0.8224186435980954,0.9858743513562621
abalone_0,SVC,completeness,0.8888875398423638,0.9028727809451025
abalone_1,SVC,completeness,0.9276318788044933,0.7929045997987458
abalone_2,SVC,completeness,0.9875444991536622,0.8479932669338784
abalone_3,SVC,completeness,0.9991036742167045,0.8164005515174374
abalone_4,SVC,completeness,1.076785918846534,0.8260785576376211
abalone_0,SVC,accuracy,0.7865414540474571,0.5612751805591757
abalone_1,SVC,accuracy,0.7545467239680791,0.5333864289810714
abalone_2,SVC,accuracy,0.8188520624343358,0.5653804403215765
abalone_3,SVC,accuracy,0.7886356927621809,0.6677710605489214
abalone_4,SVC,accuracy,0.7370871453287442,0.7486716194720054
BachChoralHarmony_0,DecisionTree,completeness,0.49895416945868676,0.9001081694352415
BachChoralHarmony_1,DecisionTree,completeness,0.6185156228213706,0.878934963169967
BachChoralHarmony_2,DecisionTree,completeness,0.6920768799743516,0.8775271562717402
BachChoralHarmony_3,DecisionTree,completeness,0.7873560432262597,0.924216724377987
BachChoralHarmony_4,DecisionTree,completeness,0.8789056828379499,0.8942719554020171
BachChoralHarmony_0,DecisionTree,accuracy,0.4987179314692807,0.7193950503577461
BachChoralHarmony_1,DecisionTree,accuracy,0.6117370077133353,0.817856385565571
BachChoralHarmony_2,DecisionTree,accuracy,0.6882816999626733,0.8458013026781365
BachChoralHarmony_3,DecisionTree,accuracy,0.771131999045384,0.887777814498275
BachChoralHarmony_4,DecisionTree,accuracy,0.8692071679893637,0.9372551677838423
BachChoralHarmony_0,LogisticRegression,completeness,0.6797567916766301,0.8996693254220093
BachChoralHarmony_1,LogisticRegression,completeness,0.7304033216616395,0.8722033874554957
BachChoralHarmony_2,LogisticRegression,completeness,0.8170134759132103,0.8668937383346648
BachChoralHarmony_3,LogisticRegression,completeness,0.8445479465021551,0.9241221306041378
BachChoralHarmony_4,LogisticRegression,completeness,0.9171804463482142,0.8837439761669724
BachChoralHarmony_0,LogisticRegression,accuracy,0.7116047191214888,0.5233159116033341
BachChoralHarmony_1,LogisticRegression,accuracy,0.7224774165543899,0.6072958478754761
BachChoralHarmony_2,LogisticRegression,accuracy,0.7465218025400223,0.5593485271525194
BachChoralHarmony_3,LogisticRegression,accuracy,0.7657516311707719,0.6426827517861282
BachChoralHarmony_4,LogisticRegression,accuracy,0.7847751369878678,0.7428151833743426
BachChoralHarmony_0,KNN,completeness,0.5258634033430415,0.9247028697408751
BachChoralHarmony_1,KNN,completeness,0.6343355826956917,0.917736100187451
BachChoralHarmony_2,KNN,completeness,0.7124280910992825,0.9109387708417652
BachChoralHarmony_3,KNN,completeness,0.7879390623867718,0.9621227318046096
BachChoralHarmony_4,KNN,completeness,0.8756870699194047,0.9255991698074103
BachChoralHarmony_0,KNN,accuracy,0.37278631414687835,0.5642772870312935
BachChoralHarmony_1,KNN,accuracy,0.41572939330160796,0.6937632896025959
