dataset,model,dimension,real,pred
drug_0,RandomForest,accuracy,0.5028539923591548,0.8454189228662042
drug_1,RandomForest,accuracy,0.5593992902276307,0.8652072622181579
drug_2,RandomForest,accuracy,0.6597472205110854,0.8864463692900161
drug_3,RandomForest,accuracy,0.7486877557545785,0.8994391407996456
drug_4,RandomForest,accuracy,0.9043678404031147,0.9322389180721355
drug_0,AdaBoost,completeness,0.5660744644288898,0.9401481324835342
drug_1,AdaBoost,completeness,0.6813311376109706,0.9486974026786756
drug_2,AdaBoost,completeness,0.6352987414905529,0.9371540992717041
drug_3,AdaBoost,completeness,0.8392819136497455,0.9741701088739162
drug_4,AdaBoost,completeness,0.5858428886709074,0.9741701088739162
drug_0,AdaBoost,accuracy,0.6016029570356818,0.7986055150012703
drug_1,AdaBoost,accuracy,0.5173833638603141,0.8608598620285676
drug_2,AdaBoost,accuracy,0.5907046711212665,0.8962234750819904
drug_3,AdaBoost,accuracy,0.6540701815658249,0.8612766526450867
drug_4,AdaBoost,accuracy,0.1666590004830305,0.9831163336071166
drug_0,SVC,completeness,0.5580566447092481,0.9305206697539951
drug_1,SVC,completeness,0.6713590815486432,0.7348008563616037
drug_2,SVC,completeness,0.6453577530580569,0.7544873666121228
drug_3,SVC,completeness,0.694188099632563,0.8678703578237238
drug_4,SVC,completeness,0.9090376773094803,0.867870357823724
drug_0,SVC,accuracy,0.4265236125820375,0.5225566005833134
drug_1,SVC,accuracy,0.34838734758413503,0.54952705229973
drug_2,SVC,accuracy,0.4370246045826811,0.5613989862975972
drug_3,SVC,accuracy,0.44541010176963475,0.47083381528460844
drug_4,SVC,accuracy,0.5609149934993934,0.6665197184810818
electricity-normalized_0,DecisionTree,completeness,0.8427044237071377,0.9024033172658209
electricity-normalized_1,DecisionTree,completeness,0.8733354364990366,0.9178375810664514
electricity-normalized_2,DecisionTree,completeness,0.8884701598187595,0.8898126627054469
electricity-normalized_3,DecisionTree,completeness,0.9285627264193778,0.8925544785202711
electricity-normalized_4,DecisionTree,completeness,0.9541313936806711,0.923592694167319
electricity-normalized_0,DecisionTree,accuracy,0.8208846643277827,0.791151351326399
electricity-normalized_1,DecisionTree,accuracy,0.8624997801016083,0.8046323120967626
electricity-normalized_2,DecisionTree,accuracy,0.8875809026785659,0.8344078752409679
electricity-normalized_3,DecisionTree,accuracy,0.9196987000067897,0.8859611004384389
electricity-normalized_4,DecisionTree,accuracy,0.9547713300371728,0.9242154346825117
electricity-normalized_0,LogisticRegression,completeness,0.8939684364700392,0.9222981233664084
electricity-normalized_1,LogisticRegression,completeness,0.9171312134818926,0.9177139419551775
electricity-normalized_2,LogisticRegression,completeness,0.9417616112008108,0.8790216027550078
electricity-normalized_3,LogisticRegression,completeness,0.9551324590196154,0.8797752536278154
electricity-normalized_4,LogisticRegression,completeness,0.9771843080460574,0.9224870483980413
electricity-normalized_0,LogisticRegression,accuracy,0.6143618266218666,0.641409505725245
electricity-normalized_1,LogisticRegression,accuracy,0.6246745842456669,0.6380150660196664
electricity-normalized_2,LogisticRegression,accuracy,0.6542652495500663,0.6433908437496699
electricity-normalized_3,LogisticRegression,accuracy,0.6887007308484782,0.6594888458816611
electricity-normalized_4,LogisticRegression,accuracy,0.7334341595379643,0.6965780135041763
electricity-normalized_0,KNN,completeness,0.8135827356226158,0.903696113881637
electricity-normalized_1,KNN,completeness,0.8374004647292137,0.9560495936549538
electricity-normalized_2,KNN,completeness,0.8727932065924993,0.9320304865057601
electricity-normalized_3,KNN,completeness,0.8969740188060317,0.9348505201895406
electricity-normalized_4,KNN,completeness,0.9445716160718118,0.9591671943495989
electricity-normalized_0,KNN,accuracy,0.6536796366878845,0.6716525898887898
electricity-normalized_1,KNN,accuracy,0.6627611749851526,0.6835992308596008
electricity-normalized_2,KNN,accuracy,0.6974414947709809,0.7357693113600086
electricity-normalized_3,KNN,accuracy,0.7339178111541466,0.7821464509962432
electricity-normalized_4,KNN,accuracy,0.8142315006171154,0.8380816763037748
electricity-normalized_0,RandomForest,completeness,0.8016075168477235,0.9210168687491838
electricity-normalized_1,RandomForest,completeness,0.8363580963285284,0.9323896474226171
electricity-normalized_2,RandomForest,completeness,0.8690570653818954,0.9100226556163691
electricity-normalized_3,RandomForest,completeness,0.9072132422586833,0.9112002399408554
electricity-normalized_4,RandomForest,completeness,0.9432088559468242,0.9354799214660574
electricity-normalized_0,RandomForest,accuracy,0.7783603640292591,0.8462256793116109
electricity-normalized_1,RandomForest,accuracy,0.8176899668171694,0.8537761331593172
electricity-normalized_2,RandomForest,accuracy,0.8466346679003799,0.8819160033067763
electricity-normalized_3,RandomForest,accuracy,0.8838240433832408,0.9185304855355308
electricity-normalized_4,RandomForest,accuracy,0.9264463456130881,0.9550200565449282
electricity-normalized_0,AdaBoost,completeness,0.8552795276837353,0.8576190913146003
electricity-normalized_1,AdaBoost,completeness,0.8768728676239576,0.9420275345016054
electricity-normalized_2,AdaBoost,completeness,0.90697888223487,0.9606158234189964
electricity-normalized_3,AdaBoost,completeness,0.9305187602236115,0.9609831382820311
electricity-normalized_4,AdaBoost,completeness,0.9511985521243128,0.9722208595455389
electricity-normalized_0,AdaBoost,accuracy,0.8501656499261914,0.8529888539558211
electricity-normalized_1,AdaBoost,accuracy,0.8791092620391141,0.8806163774031223
electricity-normalized_2,AdaBoost,accuracy,0.9032953270652182,0.9051719345383807
electricity-normalized_3,AdaBoost,accuracy,0.9305522799280831,0.9225412983375199
electricity-normalized_4,AdaBoost,accuracy,0.9546850916636105,0.9397300375207654
electricity-normalized_0,SVC,completeness,0.9231311226770926,0.888411446402092
electricity-normalized_1,SVC,completeness,0.973673027152016,0.8566618585609175
electricity-normalized_2,SVC,completeness,0.9447548798159177,0.7783226200051077
electricity-normalized_3,SVC,completeness,0.8823801260066299,0.7720449907864396
electricity-normalized_4,SVC,completeness,0.8983056720797821,0.8649807515333354
electricity-normalized_0,SVC,accuracy,0.8372616912415562,0.5896565781168744
electricity-normalized_1,SVC,accuracy,0.8545217682718308,0.5780670035111711
electricity-normalized_2,SVC,accuracy,0.8390475633480781,0.5923452722896203
electricity-normalized_3,SVC,accuracy,0.8695113275983154,0.5979833920674525
electricity-normalized_4,SVC,accuracy,0.9075786944474965,0.6066010993070586
fried_0,DecisionTree,completeness,0.8084196846001895,0.9175811181137334
fried_1,DecisionTree,completeness,0.8391388525431581,0.9168427768871863
fried_2,DecisionTree,completeness,0.8716051910764847,0.8911596889446446
fried_3,DecisionTree,completeness,0.9066357556642939,0.877283214099192
fried_4,DecisionTree,completeness,0.9513767488766975,0.9117359448170024
fried_0,DecisionTree,accuracy,0.7722861973411502,0.8001508158566352
fried_1,DecisionTree,accuracy,0.7924381968137996,0.7982474420766632
fried_2,DecisionTree,accuracy,0.8390270211889376,0.8302811940322373
fried_3,DecisionTree,accuracy,0.8757137486097589,0.883853111875263
fried_4,DecisionTree,accuracy,0.9322975369243688,0.8844274299097045
fried_0,LogisticRegression,completeness,0.850018293728653,0.9326380583801275
fried_1,LogisticRegression,completeness,0.8787335061526953,0.9284019683457412
fried_2,LogisticRegression,completeness,0.9160169882554572,0.8800093365858548
fried_3,LogisticRegression,completeness,0.941684062071009,0.8735221579064474
fried_4,LogisticRegression,completeness,0.9726230371962089,0.9050324211694879
fried_0,LogisticRegression,accuracy,0.6728009656209344,0.637222904617753
fried_1,LogisticRegression,accuracy,0.7004016946734234,0.6135477411043109
fried_2,LogisticRegression,accuracy,0.7403403961827493,0.5754146192597933
fried_3,LogisticRegression,accuracy,0.8024561024937523,0.5926213632544439
fried_4,LogisticRegression,accuracy,0.8821524427408789,0.6466358218088251
fried_0,KNN,completeness,0.7866516725071631,0.9349378527200498
fried_1,KNN,completeness,0.8215677948244411,0.926120741516021
fried_2,KNN,completeness,0.8686317942379843,0.9320049209279606
fried_3,KNN,completeness,0.9046887412151656,0.9018419416687316
fried_4,KNN,completeness,0.9494344693870989,0.9508327706765071
fried_0,KNN,accuracy,0.6666069181766624,0.686578262076438
fried_1,KNN,accuracy,0.7008407198865888,0.7022354108548096
fried_2,KNN,accuracy,0.7627544040901154,0.6902151184753461
fried_3,KNN,accuracy,0.8224232265113707,0.7550925431976122
fried_4,KNN,accuracy,0.8923287480950154,0.7853087268098189
fried_0,RandomForest,completeness,0.8022164311418619,0.9366751568765015
fried_1,RandomForest,completeness,0.8333046707541287,0.9380187121320607
fried_2,RandomForest,completeness,0.8745201967915112,0.9131185692802115
fried_3,RandomForest,completeness,0.9148084060834984,0.904708611240313
fried_4,RandomForest,completeness,0.9579599542052728,0.9260078297125333
fried_0,RandomForest,accuracy,0.7891235696430785,0.8574116328209955
fried_1,RandomForest,accuracy,0.827263745000731,0.8623563543048073
fried_2,RandomForest,accuracy,0.8596728570869065,0.886647391705315
fried_3,RandomForest,accuracy,0.891648396095897,0.9280261981975422
fried_4,RandomForest,accuracy,0.9347752528549773,0.9186856965769757
fried_0,AdaBoost,completeness,0.8146866800649512,0.8581169194791619
fried_1,AdaBoost,completeness,0.8424703841676271,0.8773120133676409
fried_2,AdaBoost,completeness,0.8895307781983667,0.9556976912224097
fried_3,AdaBoost,completeness,0.9235088546459994,0.9522218460512011
fried_4,AdaBoost,completeness,0.963171011130416,0.9723589205383839
fried_0,AdaBoost,accuracy,0.810182608075315,0.861403899173632
fried_1,AdaBoost,accuracy,0.840172914036896,0.8779025112951947
fried_2,AdaBoost,accuracy,0.8782184548403595,0.8385840131998147
fried_3,AdaBoost,accuracy,0.9135707988598903,0.9053250772761459
fried_4,AdaBoost,accuracy,0.9532042217860963,0.9475500495460035
fried_0,SVC,completeness,0.6892722074112281,0.8826688792285198
fried_1,SVC,completeness,0.5861922063500283,0.8619175194769898
fried_2,SVC,completeness,0.761598730987746,0.7715556632879069
fried_3,SVC,completeness,0.8178274319551316,0.7615878635054706
fried_4,SVC,completeness,0.9838149537584897,0.8260785576376211
fried_0,SVC,accuracy,0.6300304056527624,0.5813505321811834
fried_1,SVC,accuracy,0.6704720613092785,0.5564480484485874
fried_2,SVC,accuracy,0.6858127319266838,0.4621076259736262
fried_3,SVC,accuracy,0.7255449473265065,0.5171180107055932
fried_4,SVC,accuracy,0.7903335584419849,0.5758421657731169
frogs_0,DecisionTree,completeness,0.8425392973263881,0.9401153979567961
frogs_1,DecisionTree,completeness,0.8810349432532987,0.900099411484202
frogs_2,DecisionTree,completeness,0.903118550055009,0.892554478520271
frogs_3,DecisionTree,completeness,0.9299558928176196,0.9091347199834944
frogs_4,DecisionTree,completeness,0.9591857319364678,0.9246579119749514
frogs_0,DecisionTree,accuracy,0.6658262768097281,0.8092401543925328
frogs_1,DecisionTree,accuracy,0.7511047425041795,0.8018972054335187
frogs_2,DecisionTree,accuracy,0.7975877949778877,0.8252476743617081
frogs_3,DecisionTree,accuracy,0.8527325020492134,0.8645183054697776
frogs_4,DecisionTree,accuracy,0.9194931582490342,0.9209708093984191
frogs_0,LogisticRegression,completeness,0.887002924650576,0.9486231470395783
frogs_1,LogisticRegression,completeness,0.911680197443095,0.8852725754502837
frogs_2,LogisticRegression,completeness,0.9287932040212836,0.8797752536278154
frogs_3,LogisticRegression,completeness,0.9510217309752339,0.9031716195777888
frogs_4,LogisticRegression,completeness,0.9779947666224078,0.9252076612072017
frogs_0,LogisticRegression,accuracy,0.33176978382402006,0.6033544965453564
frogs_1,LogisticRegression,accuracy,0.33154084998063743,0.5857068404288407
frogs_2,LogisticRegression,accuracy,0.38500296925582944,0.5765069726718611
frogs_3,LogisticRegression,accuracy,0.4324438954402288,0.5922159540689265
frogs_4,LogisticRegression,accuracy,0.5707731657828079,0.71427482768311
frogs_0,KNN,completeness,0.8720047765025503,0.9447639414254818
frogs_1,KNN,completeness,0.9152637882594139,0.9298250051188344
frogs_2,KNN,completeness,0.9500700821187602,0.9348505201895404
frogs_3,KNN,completeness,0.9674946940015964,0.9456467128464556
frogs_4,KNN,completeness,0.990757986920299,0.9487205013019692
frogs_0,KNN,accuracy,0.3411440946597108,0.6776931967792083
frogs_1,KNN,accuracy,0.3567231251248349,0.6889348572707316
frogs_2,KNN,accuracy,0.3907141227142206,0.7037753081846138
frogs_3,KNN,accuracy,0.464177145599341,0.7331079687299736
frogs_4,KNN,accuracy,0.6382817529667927,0.8254041567092653
frogs_0,RandomForest,completeness,0.8695456066164153,0.9533115275346156
frogs_1,RandomForest,completeness,0.9154262370253409,0.9271275911987551
frogs_2,RandomForest,completeness,0.9530293586065008,0.9112002399408554
frogs_3,RandomForest,completeness,0.9679813013941503,0.9294885616081593
frogs_4,RandomForest,completeness,0.9850743382255744,0.9386518828107316
frogs_0,RandomForest,accuracy,0.7548340675711759,0.8609634293230602
frogs_1,RandomForest,accuracy,0.8216782549217079,0.8628410493481395
frogs_2,RandomForest,accuracy,0.8855912255996666,0.8846031679025049
frogs_3,RandomForest,accuracy,0.9349329640510936,0.9187063223437771
frogs_4,RandomForest,accuracy,0.9729897844517633,0.956296791524285
frogs_0,AdaBoost,completeness,1.1482321679939465,0.9147926316643441
frogs_1,AdaBoost,completeness,1.0605862678878573,0.9478080382022368
frogs_2,AdaBoost,completeness,1.2378626894942997,0.9609831382820311
frogs_3,AdaBoost,completeness,1.159653032323013,0.9059076601019002
frogs_4,AdaBoost,completeness,1.1454107555752753,0.9739517053292366
frogs_0,AdaBoost,accuracy,1.1275633588663938,0.8793386567908797
frogs_1,AdaBoost,accuracy,1.2028821913347296,0.8733171961800366
frogs_2,AdaBoost,accuracy,1.2773429261035705,0.8587241612880833
frogs_3,AdaBoost,accuracy,1.3416204125593378,0.8675263921134219
frogs_4,AdaBoost,accuracy,1.315469863755271,0.9362585089968338
frogs_0,SVC,completeness,0.9079914445732599,0.8202048248357457
frogs_1,SVC,completeness,0.9392994871096148,0.7778139186552943
frogs_2,SVC,completeness,0.9567953999094907,0.7720449907864396
frogs_3,SVC,completeness,0.9727269188779659,0.8167722839047296
frogs_4,SVC,completeness,0.9894795444793372,0.8643147424142438
frogs_0,SVC,accuracy,0.2332679106873641,0.522969170863519
frogs_1,SVC,accuracy,0.27708063396615235,0.5117788438486371
frogs_2,SVC,accuracy,0.3431275230619369,0.48413313710648787
frogs_3,SVC,accuracy,0.4846405681150298,0.5027462396482154
frogs_4,SVC,accuracy,0.7125249951370319,0.6264926436815259
german_0,DecisionTree,completeness,0.9216806435937595,0.8681002773969547
german_1,DecisionTree,completeness,0.9435830104191673,0.8963425917162967
german_2,DecisionTree,completeness,0.9720621149283418,0.9278823741481416
german_3,DecisionTree,completeness,0.9355149140216854,0.9297546014619024
german_4,DecisionTree,completeness,0.9215941021694488,0.9246579119749514
german_0,DecisionTree,accuracy,0.8989354313974873,0.7673425959914734
german_1,DecisionTree,accuracy,0.9132761751591671,0.797283270692755
german_2,DecisionTree,accuracy,0.8680262128668818,0.8306662944225768
german_3,DecisionTree,accuracy,0.9358958459713665,0.8791225643176379
german_4,DecisionTree,accuracy,0.9977192070341144,0.9256710964054965
german_0,LogisticRegression,completeness,0.9766995214814188,0.8756814926578648
german_1,LogisticRegression,completeness,0.9574705041432003,0.8819267107076367
german_2,LogisticRegression,completeness,0.9679924461319681,0.9277499970395053
german_3,LogisticRegression,completeness,0.9672720960874168,0.9208205383953089
german_4,LogisticRegression,completeness,0.9903446303437915,0.9252076612072017
german_0,LogisticRegression,accuracy,0.8621495895294214,0.6554815838454291
german_1,LogisticRegression,accuracy,0.8642860161658547,0.6129417933010947
german_2,LogisticRegression,accuracy,0.9118117990992655,0.5891346295089128
german_3,LogisticRegression,accuracy,0.8969880811233831,0.5946150444328097
german_4,LogisticRegression,accuracy,0.9380054634310653,0.6958323477834779
german_0,KNN,completeness,1.0267710635450775,0.866383421704783
german_1,KNN,completeness,1.0153217321440093,0.9346009098369945
german_2,KNN,completeness,0.9611774741727634,0.9580764239148056
german_3,KNN,completeness,1.0399789695137456,0.9630760136157676
german_4,KNN,completeness,0.990232147070259,0.9487205013019692
german_0,KNN,accuracy,0.9378624040412571,0.650367538782254
german_1,KNN,accuracy,0.9774143446269036,0.6667278669743235
german_2,KNN,accuracy,0.9578283125742159,0.7052387625021155
german_3,KNN,accuracy,1.028156208240506,0.747884536413813
german_4,KNN,accuracy,1.0235497712089943,0.8381671444701969
german_0,RandomForest,completeness,0.9549546306872083,0.8772561969091731
german_1,RandomForest,completeness,1.0036088672240109,0.9145218347060095
german_2,RandomForest,completeness,0.9462620846101254,0.9482210015737728
german_3,RandomForest,completeness,0.9761420017231839,0.9407127580590383
german_4,RandomForest,completeness,0.9532977448052035,0.9386518828107315
german_0,RandomForest,accuracy,0.910477693161427,0.8205139261287991
german_1,RandomForest,accuracy,0.8846462866466618,0.8377533775915617
german_2,RandomForest,accuracy,0.8567450341899482,0.8842893318321133
german_3,RandomForest,accuracy,0.9157015631249037,0.9259913133204171
german_4,RandomForest,accuracy,0.9341637672490494,0.9532623510726577
german_0,AdaBoost,completeness,0.9707045031792318,0.9073759523920223
german_1,AdaBoost,completeness,1.0067591430867375,0.9609549400521608
german_2,AdaBoost,completeness,0.9834659033906091,0.8905721034053641
german_3,AdaBoost,completeness,0.978898384594441,0.9690869367165306
german_4,AdaBoost,completeness,0.9915789831117,0.9739517053292367
german_0,AdaBoost,accuracy,0.9228585845348904,0.8439649646499593
german_1,AdaBoost,accuracy,0.9867407930236664,0.8695268494422644
german_2,AdaBoost,accuracy,0.9484540325640767,0.8649835124654562
german_3,AdaBoost,accuracy,0.99034705960976,0.8728800600734706
german_4,AdaBoost,accuracy,1.030611420879964,0.975920484325923
german_0,SVC,completeness,0.9600765534664966,0.8075953803322726
german_1,SVC,completeness,0.9689320970561209,0.7679162181532962
german_2,SVC,completeness,0.9974806547435355,0.8792504092919167
german_3,SVC,completeness,0.9994280766178766,0.8564232612993147
german_4,SVC,completeness,1.0090490229312365,0.8643147424142438
german_0,SVC,accuracy,0.9189377625760989,0.6162027933196353
german_1,SVC,accuracy,0.8729891465421471,0.5923958763082174
german_2,SVC,accuracy,0.896015286233597,0.5011341998478246
german_3,SVC,accuracy,0.9068488141240219,0.5150383528966488
german_4,SVC,accuracy,0.88993246519353,0.6314776739438258
house_0,DecisionTree,completeness,0.9650605012669485,0.9106052905219012
house_1,DecisionTree,completeness,1.0151749579241478,0.9343407692343636
house_2,DecisionTree,completeness,0.9825107601378853,0.8810544992565401
house_3,DecisionTree,completeness,1.0105465481190448,0.8942719554020171
house_4,DecisionTree,completeness,1.031212741432961,0.923592694167319
house_0,DecisionTree,accuracy,1.0028519851129944,0.7792961993590197
house_1,DecisionTree,accuracy,0.9573360287212213,0.797283270692755
house_2,DecisionTree,accuracy,0.9951131861808243,0.8341780806936612
house_3,DecisionTree,accuracy,1.0319813381355736,0.8877901830912701
house_4,DecisionTree,accuracy,1.0476880884825677,0.9399159885320764
house_0,LogisticRegression,completeness,0.9461159004073907,0.9300360295023179
house_1,LogisticRegression,completeness,0.9522100147613455,0.9424581242391035
house_2,LogisticRegression,completeness,0.9662247383317121,0.8722622754904128
house_3,LogisticRegression,completeness,0.9754294364565148,0.8837439761669724
house_4,LogisticRegression,completeness,1.0092339887717336,0.9224870483980412
house_0,LogisticRegression,accuracy,0.877144391316475,0.6014081553891872
house_1,LogisticRegression,accuracy,0.9012279739870811,0.6129417933010947
house_2,LogisticRegression,accuracy,0.8881062751030767,0.6127108807691416
house_3,LogisticRegression,accuracy,0.8808433314357509,0.6523943930848043
house_4,LogisticRegression,accuracy,0.965157821890636,0.7708762779130163
house_0,KNN,completeness,0.9343626341375103,0.9153491978766215
house_1,KNN,completeness,0.9251326400615942,0.9518835051562075
house_2,KNN,completeness,0.9251438926636562,0.9239744420142583
house_3,KNN,completeness,0.91263275794399,0.9255991698074103
house_4,KNN,completeness,0.954571186907673,0.9591671943495989
house_0,KNN,accuracy,0.5943561884507419,0.623039871673521
house_1,KNN,accuracy,0.9205907747165799,0.6667278669743235
house_2,KNN,accuracy,0.940076214892796,0.7132690689838251
house_3,KNN,accuracy,0.8722873723357352,0.7729887497784027
house_4,KNN,accuracy,0.9244009634572306,0.8499154015574986
house_0,RandomForest,completeness,0.938308245904312,0.9358495613678357
house_1,RandomForest,completeness,0.933348820063373,0.948299980553206
house_2,RandomForest,completeness,0.9729256409879755,0.9025724854952719
house_3,RandomForest,completeness,0.9963222640793302,0.9153129712612431
house_4,RandomForest,completeness,1.014305259511656,0.9354799214660574
house_0,RandomForest,accuracy,0.8883670630447859,0.8256698110287434
house_1,RandomForest,accuracy,0.9050913131796834,0.8377533775915617
house_2,RandomForest,accuracy,0.9258324704791792,0.8839325054383415
house_3,RandomForest,accuracy,0.9070157958996549,0.9161501248148544
house_4,RandomForest,accuracy,0.9663654714478882,0.9430710362194022
house_0,AdaBoost,completeness,0.9028536533795462,0.8402593731240169
house_1,AdaBoost,completeness,0.9208592738499373,0.8723825107006017
house_2,AdaBoost,completeness,0.9222115354548314,0.9515731538369009
house_3,AdaBoost,completeness,0.9582165835293726,0.9650419128501565
house_4,AdaBoost,completeness,0.9543309003411965,0.9722208595455389
house_0,AdaBoost,accuracy,0.9254034675449416,0.81802464746757
house_1,AdaBoost,accuracy,0.9274795442541348,0.8695268494422644
house_2,AdaBoost,accuracy,0.96510725259539,0.8811169991882545
house_3,AdaBoost,accuracy,0.9366230757784395,0.920293976863938
house_4,AdaBoost,accuracy,0.9454808273696441,0.95990115388683
house_0,SVC,completeness,0.914260083012599,0.893339882721221
house_1,SVC,completeness,0.8994768108431243,0.9065078853536112
house_2,SVC,completeness,0.936908434051174,0.7507066285522754
house_3,SVC,completeness,1.006763710233887,0.7830287075878689
house_4,SVC,completeness,0.9513956204328454,0.8649807515333354
house_0,SVC,accuracy,0.9068798282421641,0.5544232225365608
house_1,SVC,accuracy,0.8882071070148874,0.5923958763082174
house_2,SVC,accuracy,0.880901708958019,0.5386338067389346
house_3,SVC,accuracy,0.895899918365844,0.6065184887243579
house_4,SVC,accuracy,0.8590790481087749,0.6722381267959482
iris_0,DecisionTree,completeness,0.8306143741657195,0.8940314569304697
iris_1,DecisionTree,completeness,0.8905694258098364,0.8909502308922023
iris_2,DecisionTree,completeness,0.9047920126809655,0.892554478520271
iris_3,DecisionTree,completeness,0.9287240237089459,0.9284911521647743
iris_4,DecisionTree,completeness,1.0163698049134202,0.9288105849308735
iris_0,DecisionTree,accuracy,0.790888380053842,0.7928771303389575
iris_1,DecisionTree,accuracy,0.7973711801542465,0.8215753469163231
iris_2,DecisionTree,accuracy,0.8739470734920329,0.8444248700234807
iris_3,DecisionTree,accuracy,0.9040398829645463,0.8914583475088342
iris_4,DecisionTree,accuracy,0.92557501660829,0.925176323540733
iris_0,LogisticRegression,completeness,0.910205465718022,0.8906455727703061
iris_1,LogisticRegression,completeness,0.9066952781294364,0.8875662260227178
iris_2,LogisticRegression,completeness,0.9739279698222998,0.8797752536278154
iris_3,LogisticRegression,completeness,0.9588318097872213,0.9274491284781076
iris_4,LogisticRegression,completeness,0.9903174104085348,0.9279853606939248
iris_0,LogisticRegression,accuracy,0.3465286165850183,0.64435953455549
iris_1,LogisticRegression,accuracy,0.4564448903062011,0.6597332441263971
iris_2,LogisticRegression,accuracy,0.5465873700863114,0.6316352422623873
iris_3,LogisticRegression,accuracy,0.5190095033509012,0.6395733193263994
iris_4,LogisticRegression,accuracy,0.815545838602276,0.7145145589020364
iris_0,KNN,completeness,0.8525521176398384,0.9208253355600714
iris_1,KNN,completeness,0.904827079780779,0.9250319334958581
iris_2,KNN,completeness,0.8862201765518805,0.9348505201895404
iris_3,KNN,completeness,0.9603054807437909,0.96457549335172
iris_4,KNN,completeness,0.9765582573717494,0.9525757688898496
iris_0,KNN,accuracy,0.4862971845797565,0.6840561181119684
iris_1,KNN,accuracy,0.6194290272964034,0.6902809414917342
iris_2,KNN,accuracy,0.7528549793044955,0.7221375252032572
iris_3,KNN,accuracy,0.794729860785068,0.7758642733823276
iris_4,KNN,accuracy,0.8179326789076793,0.8376290959287005
iris_0,RandomForest,completeness,0.8145613323736419,0.9138646633227359
iris_1,RandomForest,completeness,0.9658139990481089,0.9112240130423593
iris_2,RandomForest,completeness,0.9672102658221136,0.9112002399408554
iris_3,RandomForest,completeness,0.9843813572822089,0.9391651996786582
iris_4,RandomForest,completeness,1.0155942620916893,0.9416693293025916
iris_0,RandomForest,accuracy,0.8005412215169257,0.8503403056729262
iris_1,RandomForest,accuracy,0.9225347354830764,0.8700446544040638
iris_2,RandomForest,accuracy,0.918267607671692,0.8935968882621012
iris_3,RandomForest,accuracy,0.9994419244923626,0.9258382544520904
iris_4,RandomForest,accuracy,0.9500075385920056,0.9544401588084467
iris_0,AdaBoost,completeness,0.7037471452195103,0.9592814174210634
iris_1,AdaBoost,completeness,0.7843392851917482,0.955138929584515
iris_2,AdaBoost,completeness,0.8930776022842812,0.9609831382820311
iris_3,AdaBoost,completeness,0.5761506554924319,0.9764403692660003
iris_4,AdaBoost,completeness,0.5498817068181628,0.9776157117977186
iris_0,AdaBoost,accuracy,0.5724640592687761,0.8846771324676365
iris_1,AdaBoost,accuracy,0.7154987072913833,0.8827034727257522
iris_2,AdaBoost,accuracy,0.7055854082442045,0.8811958372610402
iris_3,AdaBoost,accuracy,0.8636799015649931,0.9374677427771526
iris_4,AdaBoost,accuracy,0.8519767039126951,0.9684114347447841
iris_0,SVC,completeness,0.7654695774312712,0.7777468082871242
iris_1,SVC,completeness,0.9157699190050063,0.7743354162612371
iris_2,SVC,completeness,1.0203199227646638,0.7720449907864396
iris_3,SVC,completeness,0.9274693144758451,0.8732994668414982
iris_4,SVC,completeness,1.0217005601787563,0.8736849659452669
iris_0,SVC,accuracy,0.2098476930520671,0.5997102467282158
iris_1,SVC,accuracy,0.32020245504308203,0.5863156898016305
iris_2,SVC,accuracy,0.41222668945026103,0.5307597039921685
iris_3,SVC,accuracy,0.492871150402582,0.5774244743998594
iris_4,SVC,accuracy,0.6246728658339098,0.6503087704770784
letter_0,DecisionTree,completeness,0.3602110414686149,0.8955926225490033
letter_1,DecisionTree,completeness,0.4676374773662428,0.901930836569628
letter_2,DecisionTree,completeness,0.551957420249952,0.8860553569367035
letter_3,DecisionTree,completeness,0.6823794378989331,0.892554478520271
letter_4,DecisionTree,completeness,0.7856484966966254,0.9117359448170023
letter_0,DecisionTree,accuracy,0.15893956760891087,0.8046323120967627
letter_1,DecisionTree,accuracy,0.21364679022855926,0.8046323120967627
letter_2,DecisionTree,accuracy,0.337151659114086,0.8206311108193042
letter_3,DecisionTree,accuracy,0.43284814570508945,0.8874605563421738
letter_4,DecisionTree,accuracy,0.6574809644258324,0.9391964212612408
letter_0,LogisticRegression,completeness,0.44879369726992097,0.9067230356869119
letter_1,LogisticRegression,completeness,0.53480433002903,0.8815463099168188
letter_2,LogisticRegression,completeness,0.6532647728524816,0.8774605831381065
letter_3,LogisticRegression,completeness,0.7207195724994063,0.8797752536278155
letter_4,LogisticRegression,completeness,0.8505255012615486,0.9050324211694879
letter_0,LogisticRegression,accuracy,0.06714182435031268,0.6380150660196663
letter_1,LogisticRegression,accuracy,0.06258404459484682,0.6380150660196663
letter_2,LogisticRegression,accuracy,0.0878461782617709,0.586508958325663
letter_3,LogisticRegression,accuracy,0.12858777609117447,0.5962100965851066
letter_4,LogisticRegression,accuracy,0.2641669187174515,0.7278258600955532
letter_0,KNN,completeness,0.3623113992227975,0.9247377883168009
letter_1,KNN,completeness,0.48278887347840194,0.9173625510291891
letter_2,KNN,completeness,0.585252823907042,0.9288442184936934
letter_3,KNN,completeness,0.7178229424130078,0.9348505201895405
letter_4,KNN,completeness,0.8629951629159062,0.9508327706765071
letter_0,KNN,accuracy,0.04414374472726652,0.6835992308596008
letter_1,KNN,accuracy,0.04638924942707072,0.6835992308596008
